brand,category,design,size,color,sets,price
ANOKKHI, CHOLI,5237,24x34,P_BLUE,6,0
ANOKKHI, CHOLI,5237,36x40,P_BLUE,3,0
ANOKKHI, CHOLI,5237,24x34,MUSTARD,6,0
ANOKKHI, CHOLI,5237,36x40,MUSTARD,3,0
ANOKKHI, CHOLI,5237,24x34,MAROON,6,0
ANOKKHI, CHOLI,5237,36x40,MAROON,3,0
ANOKKHI, CHOLI,5240,18x22,LEMON,3,0
ANOKKHI, CHOLI,5240,24x34,LEMON,6,0
ANOKKHI, CHOLI,5240,36x40,LEMON,3,0
ANOKKHI, CHOLI,5240,18x22,FIROZI,3,0
ANOKKHI, CHOLI,5240,24x34,FIROZI,6,0
ANOKKHI, CHOLI,5240,36x40,FIROZI,3,0
ANOKKHI, CHOLI,5235,18x22,RAMA,3,0
ANOKKHI, CHOLI,5235,24x34,RAMA,6,0
ANOKKHI, CHOLI,5235,36x40,RAMA,3,0
ANOKKHI, CHOLI,5235,18x22,FIROZI,3,0
ANOKKHI, CHOLI,5235,24x34,FIROZI,6,0
ANOKKHI, CHOLI,5235,36x40,FIROZI,3,0
ANOKKHI, CHOLI,5235,18x22,PINK,3,0
ANOKKHI, CHOLI,5235,24x34,PINK,6,0
ANOKKHI, CHOLI,5235,36x40,PINK,3,0
ANOKKHI, CHOLI,5235,18x22,RANI,3,0
ANOKKHI, CHOLI,5235,24x34,RANI,6,0
ANOKKHI, CHOLI,5235,36x40,RANI,3,0
ANOKKHI, CHOLI,5241,32x40,P_BLUE,5,0
ANOKKHI, CHOLI,5241,32x40,LEMON,5,0
ANOKKHI, CHOLI,5238,18x22,GREEN,3,0
ANOKKHI, CHOLI,5238,24x34,GREEN,6,0
ANOKKHI, CHOLI,5238,36x40,GREEN,3,0
ANOKKHI, CHOLI,5238,18x22,P_BLUE,3,0
ANOKKHI, CHOLI,5238,24x34,P_BLUE,6,0
ANOKKHI, CHOLI,5238,36x40,P_BLUE,3,0
ANOKKHI, CHOLI,5239,18x22,PURPLE,3,0
ANOKKHI, CHOLI,5239,24x34,PURPLE,6,0
ANOKKHI, CHOLI,5239,36x40,PURPLE,3,0
ANOKKHI, CHOLI,5239,18x22,LEMON,3,0
ANOKKHI, CHOLI,5239,24x34,LEMON,6,0
ANOKKHI, CHOLI,5239,36x40,LEMON,3,0
ANOKKHI, CHOLI,5239,18x22,GREEN,3,0
ANOKKHI, CHOLI,5239,24x34,GREEN,6,0
ANOKKHI, CHOLI,5239,36x40,GREEN,3,0
ANOKKHI, CHOLI,5233,18x22,PINK,3,0
ANOKKHI, CHOLI,5233,24x34,PINK,6,0
ANOKKHI, CHOLI,5233,36x40,PINK,3,0
ANOKKHI, CHOLI,1570,24x34,PINK,6,0
ANOKKHI, CHOLI,1570,36x40,PINK,3,0
ANOKKHI, CHOLI,5213,32x40,PINK,5,0
ANOKKHI, CHOLI,5213,32x40,LEMON,5,0
ANOKKHI, CHOLI,5213,32x40,FIROZI,5,0
ANOKKHI, CHOLI,5213,32x40,CREAM,5,0
ANOKKHI, CHOLI,5230,24x34,LEMON,6,0
ANOKKHI, CHOLI,5230,36x40,LEMON,3,0
ANOKKHI, CHOLI,5230,24x34,FIROZI,6,0
ANOKKHI, CHOLI,5230,36x40,FIROZI,3,0
ANOKKHI, CHOLI,5230,24x34,P_BLUE,6,0
ANOKKHI, CHOLI,5230,36x40,P_BLUE,3,0
ANOKKHI, CHOLI,5245,24x34,BLACK,6,0
ANOKKHI, CHOLI,5245,36x40,BLACK,3,0
ANOKKHI, CHOLI,1571,18x22,BLUE,3,0
ANOKKHI, CHOLI,1571,24x34,BLUE,6,0
ANOKKHI, CHOLI,1571,36x40,BLUE,3,0
