brand,category,design,size,color,sets,price
BABIES,GOWN,G710,22x32,TOMATO,6,0
BABIES,GOWN,G711,22x32,RANI,6,0
BABIES,GOWN,G712,22x32,PEACH,6,0
BABIES,FROCK,2766,12x14,MEHNDI_GREEN,2,0
BABIES,GOWN,G713,22x32,GREY,6,0
BABIES,GOWN,G712,22x32,NEW_GREEN,6,0
BABIES,SKIRT_TOP,S110,12x16,NEW_GREEN,3,0
BABIES,SKIRT_TOP,S110,12x16,PEACH,3,0
BABIES,SKIRT_TOP,S110,12x16,JAMBLI,3,0
BABIES,SKIRT_TOP,S110,18x22,NEW_GREEN,3,0
BABIES,SKIRT_TOP,S110,12x16,RED,3,0
BABIES,SKIRT_TOP,S111,12x16,NEW_GREEN,3,0
BABIES,SKIRT_TOP,S110,18x22,PEACH,3,0
BABIES,SKIRT_TOP,S110,18x22,JAMBLI,3,0
BABIES,SKIRT_TOP,S111,18x22,NEW_GREEN,3,0
BABIES,SKIRT_TOP,S110,18x22,RED,3,0
BABIES,SKIRT_TOP,S111,12x16,LEMON,3,0
BABIES,SKIRT_TOP,S111,12x16,PINK,3,0
BABIES,FROCK,2757,12x14,NEW_GREEN,2,0
BABIES,FROCK,2762,16x22,NEW_GREEN,4,0
BABIES,FROCK,2762,24x28,NEW_GREEN,3,0
BABIES,GOWN,G713,22x32,ONION_PINK,6,0
BABIES,SKIRT_TOP,S111,18x22,LEMON,3,0
BABIES,SKIRT_TOP,S111,18x22,PINK,3,0
BABIES,SKIRT_TOP,S110,12x16,ONION_PINK,3,0
BABIES,SKIRT_TOP,S110,18x22,ONION_PINK,3,0
BABIES,SKIRT_TOP,S111,12x16,ONION_PINK,3,0
BABIES,SKIRT_TOP,S111,18x22,ONION_PINK,3,0
BABIES,SKIRT_TOP,S112,12x16,PINK,3,0
BABIES,SKIRT_TOP,S112,12x16,LEMON,3,0
BABIES,SKIRT_TOP,S112,12x16,GREEN,3,0
BABIES,SKIRT_TOP,S112,18x22,PINK,3,0
BABIES,SKIRT_TOP,S112,18x22,LEMON,3,0
BABIES,SKIRT_TOP,S112,18x22,GREEN,3,0
BABIES,FROCK,2756,12x14,PURPLE,2,0
BABIES,FROCK,2756,12x14,RED,2,0
BABIES,FROCK,2756,12x14,GREEN,2,0
BABIES,FROCK,2757,12x14,ONION_PINK,2,0
BABIES,FROCK,2761,16x22,ONION_PINK,4,0
BABIES,FROCK,2761,24x28,ONION_PINK,3,0
BABIES,FROCK,2761,16x22,BLUE,4,0
BABIES,FROCK,2766,12x14,ONION_PINK,2,0
BABIES,FROCK,2761,24x28,BLUE,3,0
BABIES,FROCK,2762,16x22,TOMATO,4,0
BABIES,SKIRT_TOP,S111,12x16,POWDER_BLUE,3,0
BABIES,FROCK,2762,24x28,TOMATO,3,0
BABIES,SKIRT_TOP,S111,18x22,POWDER_BLUE,3,0
BABIES,FROCK,2763,16x22,FIROZI,4,0
BABIES,FROCK,2763,24x28,FIROZI,3,0
BABIES,FROCK,2764,16x22,MULTI,4,0
BABIES,FROCK,2765,16x22,MULTI,4,0
BABIES,SKIRT_TOP,S111,12x16,SEA_GREEN,3,0
BABIES,SKIRT_TOP,S111,18x22,SEA_GREEN,3,0
