brand,category,design,size,color,sets,price
BAD_BOYS,HALF_SUIT,10002,5x7,PEACH,3,0
BAD_BOYS,HALF_SUIT,10076,5x7,OLIVE_GREEN,3,0
BAD_BOYS,HALF_SUIT,10165,5x7,YELLOW,3,0
BAD_BOYS,HALF_SUIT,10059,5x7,YELLOW,3,0
BAD_BOYS,HALF_SUIT,10002,5x7,LIGHT_GREEN,3,0
BAD_BOYS,HALF_SUIT,10002,5x7,SKY_BLUE,3,0
BAD_BOYS,HALF_SUIT,10165,5x7,LIGHT_PINK,3,0
BAD_BOYS,HALF_SUIT,10165,5x7,ORANGE,3,0
BAD_BOYS,HALF_SUIT,10057,5x7,BLACK,3,0
BAD_BOYS,HALF_SUIT,10165,5x7,SKY_BLUE,3,0
BAD_BOYS,HALF_SUIT,10065,5x7,AQUA_GREEN,3,0
BAD_BOYS,HALF_SUIT,10178,5x7,PINK,3,0
BAD_BOYS,HALF_SUIT,10074,5x7,WHITE,3,0
BAD_BOYS,HALF_SUIT,10178,5x7,LIGHT_GREEN,3,0
BAD_BOYS,HALF_SUIT,10058,5x7,RED,3,0
BAD_BOYS,HALF_SUIT,10113,5x7,BROWN,3,0
