brand,category,design,size,color,sets,price
BLUE_TAG,T_SHIRT,755,18x24,YELLOW,4,0
BLUE_TAG,T_SHIRT,755,18x24,WHITE ,4,0
BLUE_TAG,T_SHIRT,755,18x24,PEACH,4,0
BLUE_TAG,T_SHIRT,755,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,755,18x24,NAVY,4,0
BLUE_TAG,T_SHIRT,755,18x24,OLIVE ,4,0
BLUE_TAG,T_SHIRT,755,18x24,MINT,4,0
BLUE_TAG,T_SHIRT,755,26x36,YELLOW,6,0
BLUE_TAG,T_SHIRT,755,26x36,WHITE ,6,0
BLUE_TAG,T_SHIRT,755,26x36,PEACH,6,0
BLUE_TAG,T_SHIRT,755,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,755,26x36,NAVY,6,0
BLUE_TAG,T_SHIRT,755,26x36,OLIVE ,6,0
BLUE_TAG,T_SHIRT,755,26x36,MINT,6,0
BLUE_TAG,T_SHIRT,8244,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,8244,18x24,YELLOW,4,0
BLUE_TAG,T_SHIRT,8244,18x24,PEACH,4,0
BLUE_TAG,T_SHIRT,8244,18x24,WHITE ,4,0
BLUE_TAG,T_SHIRT,8244,18x24,GREY,4,0
BLUE_TAG,T_SHIRT,8244,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,8244,26x36,YELLOW,6,0
BLUE_TAG,T_SHIRT,8244,26x36,PEACH,6,0
BLUE_TAG,T_SHIRT,8244,26x36,WHITE ,6,0
BLUE_TAG,T_SHIRT,8244,26x36,GREY,6,0
BLUE_TAG,T_SHIRT,8239,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,8239,18x24,MAROON,4,0
BLUE_TAG,T_SHIRT,8239,18x24,NAVY,4,0
BLUE_TAG,T_SHIRT,8239,18x24,AIRFORCE,4,0
BLUE_TAG,T_SHIRT,8239,18x24,B_GREEN,4,0
BLUE_TAG,T_SHIRT,8239,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,8239,26x36,MAROON,6,0
BLUE_TAG,T_SHIRT,8239,26x36,NAVY,6,0
BLUE_TAG,T_SHIRT,8239,26x36,AIRFORCE,6,0
BLUE_TAG,T_SHIRT,8239,26x36,B_GREEN,6,0
BLUE_TAG,T_SHIRT,2591,18x24,ORANGE,4,0
BLUE_TAG,T_SHIRT,2591,18x24,YELLOW,4,0
BLUE_TAG,T_SHIRT,2591,26x36,ORANGE,6,0
BLUE_TAG,T_SHIRT,2591,26x36,YELLOW,6,0
BLUE_TAG,T_SHIRT,722,18x24,WHITE ,4,0
BLUE_TAG,T_SHIRT,722,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,722,18x24,B_GREEN,4,0
BLUE_TAG,T_SHIRT,722,18x24,MAROON,4,0
BLUE_TAG,T_SHIRT,722,26x36,WHITE ,6,0
BLUE_TAG,T_SHIRT,722,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,722,26x36,B_GREEN,6,0
BLUE_TAG,T_SHIRT,722,26x36,MAROON,6,0
BLUE_TAG,T_SHIRT,8266,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,8266,18x24,WHITE ,4,0
BLUE_TAG,T_SHIRT,8266,18x24,NAVY,4,0
BLUE_TAG,T_SHIRT,8266,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,8266,26x36,WHITE ,6,0
BLUE_TAG,T_SHIRT,8266,26x36,NAVY,6,0
BLUE_TAG,T_SHIRT,709,18x24,BLACK,4,0
BLUE_TAG,T_SHIRT,709,18x24,GREY,4,0
BLUE_TAG,T_SHIRT,709,18x24,B_GREEN,4,0
BLUE_TAG,T_SHIRT,709,18x24,WHITE ,4,0
BLUE_TAG,T_SHIRT,709,18x24,YELLOW,4,0
BLUE_TAG,T_SHIRT,709,18x24,C_GREEN,4,0
BLUE_TAG,T_SHIRT,709,18x24,PEACH,4,0
BLUE_TAG,T_SHIRT,709,18x24,NAVY,4,0
BLUE_TAG,T_SHIRT,709,26x36,BLACK,6,0
BLUE_TAG,T_SHIRT,709,26x36,GREY,6,0
BLUE_TAG,T_SHIRT,709,26x36,B_GREEN,6,0
BLUE_TAG,T_SHIRT,709,26x36,WHITE ,6,0
BLUE_TAG,T_SHIRT,709,26x36,YELLOW,6,0
BLUE_TAG,T_SHIRT,709,26x36,C_GREEN,6,0
BLUE_TAG,T_SHIRT,709,26x36,PEACH,6,0
