brand,category,design,size,color,sets,price
MINI_PINK,COTON_FROCK,L1803,16x20,BLUE,3,0
MINI_PINK,COTON_FROCK,L1808,16x20,SKY,3,0
MINI_PINK,COTON_FROCK,L5912A,22x32,PINK,6,0
MINI_PINK,COTON_FROCK,L1748,16x20,YELLOW,3,0
MINI_PINK,COTON_FROCK,L1748,16x20,GREEN,3,0
MINI_PINK,COTON_FROCK,L5929,22x32,WHITE,6,0
MINI_PINK,COTON_FROCK,L5894A,22x32,PINK,6,0
MINI_PINK,COTON_FROCK,L5894A,22x32,BLUE,6,0
MINI_PINK,COTON_FROCK,L5894,22x32,YELLOW,6,0
MINI_PINK,COTON_FROCK,L5919,22x32,YELLOW,6,0
MINI_PINK,COTON_FROCK,L5919,22x32,CARROT,6,0
CHAYANA,COTON_FROCK,6067R,22x30,LEMON,6,0
CHAYANA,COTON_FROCK,6067R,22x30,PEACH,6,0
CHAYANA,COTON_FROCK,633,22x32,PINK,6,0
CHAYANA,COTON_FROCK,633,22x32,SKY,6,0
CHAYANA,COTON_FROCK,642A,22x32,LEMON,6,0
CHAYANA,COTON_FROCK,154K,22x32,FIROZI,6,0
CHAYANA,COTON_FROCK,642A,22x32,PINK,6,0
CHAYANA,COTON_FROCK,154T,22x32,PINK,6,0
CHAYANA,COTON_FROCK,574C,22x32,PINK,6,0
CHAYANA,COTON_FROCK,339,22x32,PINK,6,0
CHAYANA,COTON_FROCK,288B,22x32,PINK,6,0
CHAYANA,COTON_FROCK,63,22x32,LEMON,6,0
CHAYANA,COTON_FROCK,63,22x32,PINK,6,0
CHAYANA,COTON_FROCK,288B,22x32,LEMON,6,0
CHAYANA,COTON_FROCK,574C,22x32,FIROZI,6,0
CHAYANA,COTON_FROCK,635,22x32,PEACH,6,0
CHAYANA,COTON_FROCK,312A,22x32,PINK,6,0
SREEMA,COTON_FROCK,5832,16x18,FIROZI,2,0
SREEMA,COTON_FROCK,5111,16x20,LEMON,3,0
SREEMA,COTON_FROCK,1366A,16x20,LEMON,3,0
SREEMA,COTON_FROCK,5831,16x20,WHITE,3,0
SREEMA,COTON_FROCK,5831,22x32,WHITE,6,0
SREEMA,COTON_FROCK,5848,22x32,PINK,6,0
SREEMA,COTON_FROCK,5848,34x36,PINK,2,0
SREEMA,COTON_FROCK,5850,16x20,RED,3,0
SREEMA,COTON_FROCK,5850,22x32,RED,6,0
SREEMA,COTON_FROCK,5856,16x20,PINK,3,0
SREEMA,COTON_FROCK,5856,16x20,BLUE,3,0
SREEMA,COTON_FROCK,5824,22x32,MULTI,6,0
SREEMA,COTON_FROCK,5824,34x36,MULTI,2,0
SREEMA,COTON_FROCK,5824,16x20,MULTI,3,0
SREEMA,COTON_FROCK,5847,22x32,MULTI,6,0
SREEMA,COTON_FROCK,5847,34x36,MULTI,2,0
SREEMA,COTON_FROCK,5846,22x32,PINK,6,0
SREEMA,COTON_FROCK,5846,34x36,PINK,2,0
SREEMA,COTON_FROCK,5832,20x30,FIROZI,6,0
SREEMA,COTON_FROCK,5111,22x32,LEMON,6,0
SREEMA,COTON_FROCK,5441E,22x32,PEACH,6,0
SREEMA,COTON_FROCK,5441E,22x32,LEMON,6,0
SREEMA,COTON_FROCK,5766,22x32,GREEN,6,0
SREEMA,COTON_FROCK,5766,34x36,GREEN,2,0
SREEMA,COTON_FROCK,1366A,22x32,LEMON,6,0
SREEMA,COTON_FROCK,5856,22x32,PINK,6,0
SREEMA,COTON_FROCK,5840,22x32,PINK,6,0
SREEMA,COTON_FROCK,5840,22x32,BLUE,6,0
SREEMA,COTON_FROCK,5840,34x36,PINK,2,0
SREEMA,COTON_FROCK,5840,34x36,BLUE,2,0
SUJAL,T_SHIRT,3026,22x34,RUST,7,0
SUJAL,T_SHIRT,3026,22x34,SKY,7,0
SUJAL,T_SHIRT,3026,22x34,GREEN,7,0
SUJAL,T_SHIRT,3026,22x34,ONION,7,0
SUJAL,T_SHIRT,3027,22x34,MAROON,7,0
SUJAL,T_SHIRT,3027,22x34,AIRFORCE,7,0
SUJAL,T_SHIRT,3027,22x34,YELLOW,7,0
SUJAL,T_SHIRT,3027,22x34,GREEN,7,0
SUJAL,T_SHIRT,3027,22x34,WHITE,7,0
SUJAL,T_SHIRT,3027,22x34,BLACK,7,0
,,,,,,
