brand,category,design,size,color,sets,price
DRIZZLE,MIDI,296,18x28,PISTA,6,0
DRIZZLE,MIDI,296,30x38,PISTA,5,0
DRIZZLE,MIDI,296,18x28,PEACH,6,0
DRIZZLE,MIDI,296,30x38,PEACH,5,0
DRIZZLE,JUMP_SUIT,297,18x28,PURPLE,6,0
DRIZZLE,JUMP_SUIT,297,30x38,PURPLE,5,0
DRIZZLE,JUMP_SUIT,298,18x28,PINK,6,0
DRIZZLE,JUMP_SUIT,298,30x38,PINK,5,0
DRIZZLE,SET,299,18x28,BLACK,6,0
DRIZZLE,SET,299,30x38,BLACK,5,0
DRIZZLE,SET,299,18x28,NAVY,6,0
DRIZZLE,SET,299,30x38,NAVY,5,0
DRIZZLE,JUMP_SUIT,300,18x28,GREEN,6,0
DRIZZLE,JUMP_SUIT,300,30x38,GREEN,5,0
DRIZZLE,JUMP_SUIT,300,18x28,PINK,6,0
DRIZZLE,JUMP_SUIT,300,30x38,PINK,5,0
DRIZZLE,MIDI,301,18x28,WHITE,6,0
DRIZZLE,MIDI,301,30x38,WHITE,5,0
DRIZZLE,MIDI,301,18x28,PEACH,6,0
DRIZZLE,MIDI,301,30x38,PEACH,5,0
DRIZZLE,MIDI,302,18x28,YELLOW,6,0
DRIZZLE,MIDI,302,30x38,YELLOW,5,0
DRIZZLE,MIDI,302,18x28,GREEN,6,0
DRIZZLE,MIDI,302,30x38,GREEN,5,0
DRIZZLE,MIDI,303,18x28,ORANGE,6,0
DRIZZLE,MIDI,303,30x38,ORANGE,5,0
DRIZZLE,MIDI,303,18x28,PURPLE,6,0
DRIZZLE,MIDI,303,30x38,PURPLE,5,0
DRIZZLE,MIDI,304,18x28,GREEN,6,0
DRIZZLE,MIDI,304,30x38,GREEN,5,0
DRIZZLE,MIDI,304,18x28,BLUE,6,0
DRIZZLE,MIDI,304,30x38,BLUE,5,0
DRIZZLE,JUMP_SUIT,305,18x28,PEACH,6,0
DRIZZLE,JUMP_SUIT,305,18x28,YELLOW,6,0
DRIZZLE,JUMP_SUIT,307,18x28,GREEN,6,0
DRIZZLE,JUMP_SUIT,307,30x38,GREEN,5,0
DRIZZLE,JUMP_SUIT,307,18x28,PINK,6,0
DRIZZLE,JUMP_SUIT,307,30x38,PINK,5,0
DRIZZLE,JUMP_SUIT,310,18x28,YELLOW,6,0
DRIZZLE,JUMP_SUIT,310,18x28,PINK,6,0
DRIZZLE,SET,251,18x28,PINK,6,0
DRIZZLE,SET,251,18x28,ROYAL_BLUE,6,0
DRIZZLE,JUMP_SUIT,241,18x28,PEACH,6,0
DRIZZLE,JUMP_SUIT,241,18x28,GREEN,6,0
DRIZZLE,SET,213,18x28,GREEN,6,0
DRIZZLE,SET,213,18x28,YELLOW,6,0
DRIZZLE,JUMP_SUIT,247,18x28,GREEN,6,0
DRIZZLE,JUMP_SUIT,247,18x28,RED,6,0
DRIZZLE,MIDI,242,18x28,GREEN,6,0
DRIZZLE,MIDI,242,30x38,GREEN,5,0
DRIZZLE,MIDI,242,18x28,MAROON,6,0
DRIZZLE,MIDI,242,30x38,MAROON,5,0
DRIZZLE,MIDI,311,18x28,C_GREEN,6,0
DRIZZLE,MIDI,311,30x38,C_GREEN,5,0
DRIZZLE,MIDI,311,18x28,PEACH,6,0
DRIZZLE,MIDI,311,30x38,PEACH,5,0
DRIZZLE,JUMP_SUIT,312,18x28,GREEN,6,0
DRIZZLE,JUMP_SUIT,312,30x38,GREEN,5,0
DRIZZLE,JUMP_SUIT,312,18x28,PEACH,6,0
DRIZZLE,JUMP_SUIT,312,30x38,PEACH,5,0
