brand,category,design,size,color,sets,price
XPLOSURE,COTI_SET,3880,S_XL,C_GREEN,4,0
XPLOSURE,COTI_SET,3854,S_XL,SKY,4,0
XPLOSURE,COTI_SET,3872,S_XL,PEACOCK,4,0
XPLOSURE,COTI_SET,3863,S_XL,CREAM,4,0
XPLOSURE,COTI_SET,3753,S_XL,CREAM,4,0
XPLOSURE,COTI_SET,3895,S_XL,CREAM,4,0
XPLOSURE,COTI_SET,3897,S_XL,WINE,4,0
XPLOSURE,COTI_SET,7587,S_XL,PICH,4,0
XPLOSURE,COTI_SET,7599,S_XL,MEHNDI,4,0
XPLOSURE,COTI_SET,3897,S_XL,MEHNDI,4,0
XPLOSURE,COTI_SET,7598,S_XL,RUST,4,0
XPLOSURE,COTI_SET,3865,S_XL,SKY,4,0
XPLOSURE,COTI_SET,7599,S_XL,FIROZI,4,0
XPLOSURE,COTI_SET,3897,S_XL,FIROZI,4,0
XPLOSURE,COTI_SET,3899,S_XL,PISTA,4,0
XPLOSURE,COTI_SET,3885,S_XL,PISTA,4,0
XPLOSURE,COTI_SET,3860,S_XL,GOLD,4,0
XPLOSURE,COTI_SET,3902,S_XL,BLUE,4,0
XPLOSURE,COTI_SET,3880,M_XXL,C_GREEN,4,0
XPLOSURE,COTI_SET,3854,M_XXL,SKY,4,0
XPLOSURE,COTI_SET,3872,M_XXL,PEACOCK,4,0
XPLOSURE,COTI_SET,3863,M_XXL,CREAM,4,0
XPLOSURE,COTI_SET,3753,M_XXL,CREAM,4,0
XPLOSURE,COTI_SET,3895,M_XXL,CREAM,4,0
XPLOSURE,COTI_SET,3897,M_XXL,WINE,4,0
XPLOSURE,COTI_SET,7587,M_XXL,PICH,4,0
XPLOSURE,COTI_SET,7599,M_XXL,MEHNDI,4,0
XPLOSURE,COTI_SET,3897,M_XXL,MEHNDI,4,0
XPLOSURE,COTI_SET,7598,M_XXL,RUST,4,0
XPLOSURE,COTI_SET,3865,M_XXL,SKY,4,0
XPLOSURE,COTI_SET,7599,M_XXL,FIROZI,4,0
XPLOSURE,COTI_SET,3897,M_XXL,FIROZI,4,0
XPLOSURE,COTI_SET,3899,M_XXL,PISTA,4,0
XPLOSURE,COTI_SET,3885,M_XXL,PISTA,4,0
XPLOSURE,COTI_SET,3860,M_XXL,GOLD,4,0
XPLOSURE,COTI_SET,3902,M_XXL,BLUE,4,0
