brand,category,design,size,color,sets,price
GRATITUDE,CORD_SET,236M,0x5,GREEN,6,0
GRATITUDE,CORD_SET,236M,0x5,BLUE,6,0
GRATITUDE,CORD_SET,236T,0x5,BLUE,6,0
GRATITUDE,CORD_SET,236MI,0x5,BLACK,6,0
GRATITUDE,CORD_SET,236MI,0x5,MAROON,6,0
GRATITUDE,CORD_SET,236G,0x5,GREEN,6,0
GRATITUDE,CORD_SET,236B,0x5,GREY,6,0
GRATITUDE,CORD_SET,236B,0x5,ONION,6,0
GRATITUDE,INFANT_HALF,00_18,S_XL,PISTA,4,0
GRATITUDE,INFANT_HALF,00_05,S_XL,FAWN,4,0
GRATITUDE,INFANT_HALF,00_08,S_XL,BLUE,4,0
GRATITUDE,INFANT_HALF,00_22,S_XL,WHITE,4,0
GRATITUDE,INFANT_HALF,00_20,S_XL,LEMON,4,0
GRATITUDE,INFANT_HALF,00_09,S_XL,GREY,4,0
GRATITUDE,INFANT_HALF,00_01,S_XL,GREEN,4,0
GRATITUDE,INFANT_HALF,00_11,S_XL,BLUE,4,0
GRATITUDE,INFANT_HALF,00_25,S_XL,CREAM,4,0
GRATITUDE,INFANT_HALF,00_27,S_XL,LEMON,4,0
GRATITUDE,INFANT_HALF,00_28,S_XL,LEMON,4,0
GRATITUDE,INFANT_HALF,00_43,S_XL,S_BLUE,4,0
GRATITUDE,INFANT_HALF,00_36,S_XL,CREAM,4,0
GRATITUDE,INFANT_HALF,1022,S_XL,BROWN,4,0
GRATITUDE,INFANT_HALF,1027,S_XL,R_BLUE,4,0
GRATITUDE,INFANT_HALF,1029,S_XL,RED,4,0
GRATITUDE,INFANT_HALF,1035,S_XL,GREEN,4,0
GRATITUDE,INFANT_HALF,1024,S_XL,S_BLUE,4,0
GRATITUDE,INFANT_HALF,1042,S_XL,GREEN,4,0
GRATITUDE,INFANT_HALF,1023,S_XL,RED,4,0
GRATITUDE,INFANT_HALF,1028,S_XL,PEACH,4,0
GRATITUDE,INFANT_HALF,1026,S_XL,LEMON,4,0
GRATITUDE,T_SHIRT_SET,338,0x4,RED,5,0
GRATITUDE,T_SHIRT_SET,338,0x4,BLUE,5,0
GRATITUDE,T_SHIRT_SET,343,0x4,S_BLUE,5,0
GRATITUDE,T_SHIRT_SET,343,0x4,BLUE,5,0
GRATITUDE,T_SHIRT_SET,337,0x4,T_BLUE,5,0
GRATITUDE,T_SHIRT_SET,337,0x4,MUSTARD,5,0
GRATITUDE,T_SHIRT_SET,338,0x4,T_BLUE,5,0
GRATITUDE,T_SHIRT_SET,338,0x4,MUSTARD,5,0
GRATITUDE,T_SHIRT_SET,342,0x4,RED,5,0
GRATITUDE,T_SHIRT_SET,342,0x4,S_BLUE,5,0
GRATITUDE,INFANT_HALF,1015,S_XL,BLUE,4,0
GRATITUDE,INFANT_HALF,1015,S_XL,RED,4,0
GRATITUDE,INFANT_HALF,1015,S_XL,MUSTARD,4,0
GRATITUDE,T_SHIRT_SET,280,0x4,BLACK,4,0
GRATITUDE,SHIRT_SET,335,0x4,LEMON,4,0
GRATITUDE,SHIRT_SET,331,0x4,MAROON,4,0
GRATITUDE,SHIRT_SET,334,0x4,BLUE,4,0
AVTAR,SHIRT ,7514,18x36,WHITE,10,0
AVTAR,SHIRT ,7514,18x36,LEMON,10,0
AVTAR,SHIRT ,7514,18x36,BLUE,10,0
AVTAR,SHIRT ,7514,18x36,PINK,10,0
AVTAR,SHIRT ,7514,18x36,BLACK,10,0
AVTAR,SHIRT ,7514,18x36,PEACH,10,0
AVTAR,SHIRT ,7514,18x36,PISTA,10,0
AVTAR,SHIRT ,7514,18x36,MAROON,10,0
GRATITUDE,TRACK_SUIT_HALF,262,18x30,WHITE,7,0
GRATITUDE,TRACK_SUIT_HALF,262,18x30,FAWN,7,0
GRATITUDE,TRACK_SUIT_HALF,262,18x30,BLACK,7,0
GRATITUDE,TRACK_SUIT_HALF,262,18x30,WHITE,7,0
GRATITUDE,TRACK_SUIT_HALF,262,18x30,GREY,7,0
