brand,category,design,size,color,sets,price
GRATITUDE,BABA_SUIT,1015,1x5,NAVY,5,0
GRATITUDE,BABA_SUIT,1015,1x5,MUSTARD,5,0
GRATITUDE,BABA_SUIT,1015,1x5,RED,5,0
GRATITUDE,BABA_SUIT,1021,1x5,BLUE,5,0
GRATITUDE,BABA_SUIT,1028,1x5,PEACH,5,0
GRATITUDE,BABA_SUIT,1024,1x5,BLUE,5,0
GRATITUDE,BABA_SUIT,1026,1x5,YELLOW,5,0
GRATITUDE,BABA_SUIT,1042,1x5,GREEN,5,0
GRATITUDE,BABA_SUIT,1022,1x5,BROWN,5,0
GRATITUDE,BABA_SUIT,1027,1x5,BLUE,5,0
GRATITUDE,BABA_SUIT,1023,1x5,RED,5,0
GRATITUDE,BABA_SUIT,1035,1x5,GREEN,5,0
GRATITUDE,BABA_SUIT,1029,1x5,RED,5,0
