brand,category,design,size,color,sets,price
GREEN_APPLE,LEHENGA,GA500,30x40,BLUE,6,0
GREEN_APPLE,LEHENGA,GA500,30x40,BLUE,3,0
GREEN_APPLE,LEHENGA,GA500,30x40,RED,6,0
GREEN_APPLE,LEHENGA,GA500,30x40,RED,3,0
GREEN_APPLE,LEHENGA,GA501,30x40,PINK,6,0
GREEN_APPLE,LEHENGA,GA501,30x40,PINK,3,0
GREEN_APPLE,LEHENGA,GA501,30x40,PISTA,6,0
GREEN_APPLE,LEHENGA,GA501,30x40,PISTA,3,0
GREEN_APPLE,LEHENGA,GA503,30x40,BASIL,6,0
GREEN_APPLE,LEHENGA,GA503,30x40,BASIL,3,0
GREEN_APPLE,LEHENGA,GA503,30x40,CHERRY,6,0
GREEN_APPLE,LEHENGA,GA503,30x40,CHERRY,3,0
GREEN_APPLE,LEHENGA,GA504,30x40,GREEN,6,0
GREEN_APPLE,LEHENGA,GA504,30x40,GREEN,3,0
GREEN_APPLE,LEHENGA,GA504,30x40,MAUVE,6,0
GREEN_APPLE,LEHENGA,GA504,30x40,MAUVE,3,0
GREEN_APPLE,GOWN,GA361,30x40,LAVENDER ,6,0
GREEN_APPLE,GOWN,GA361,30x40,LAVENDER ,3,0
GREEN_APPLE,GOWN,GA361,30x40,AQUA ,6,0
GREEN_APPLE,GOWN,GA361,30x40,AQUA ,3,0
GREEN_APPLE,GOWN,GA362,30x40,PEACOCK_BLUE,6,0
GREEN_APPLE,GOWN,GA362,30x40,PEACOCK_BLUE,3,0
GREEN_APPLE,GOWN,GA362,30x40,MAROON,6,0
GREEN_APPLE,GOWN,GA362,30x40,MAROON,3,0
GREEN_APPLE,GOWN,GA364,30x40,BLUE,6,0
GREEN_APPLE,GOWN,GA364,30x40,BLUE,3,0
GREEN_APPLE,GOWN,GA366,30x40,RUST,6,0
GREEN_APPLE,GOWN,GA366,30x40,RUST,3,0
GREEN_APPLE,GOWN,GA346,30x40,CORNFLOWER_BLUE,6,0
GREEN_APPLE,GOWN,GA346,30x40,CORNFLOWER_BLUE,3,0
GREEN_APPLE,GOWN,GA348,30x40,BROWN,6,0
GREEN_APPLE,GOWN,GA348,30x40,BROWN,3,0
GREEN_APPLE,GOWN,GA348,30x40,TEAL_GREEN,6,0
GREEN_APPLE,GOWN,GA350,30x40,BLUSH_PINK,6,0
GREEN_APPLE,GOWN,GA350,30x40,LIGHT_PURPLE,6,0
GREEN_APPLE,GOWN,GA354,30x40,MIDNIGHT_BLUE,6,0
GREEN_APPLE,GOWN,GA354,30x40,MIDNIGHT_BLUE,3,0
GREEN_APPLE,GOWN,GA354,30x40,BLUSH_PINK,6,0
GREEN_APPLE,GOWN,GA354,36x40,BLUSH_PINK,3,0
