brand,category,design,size,color,sets,price
GREEN_APPLE,LEHENGA,GA500,36x40,BLUE,3,0
GREEN_APPLE,LEHENGA,GA500,36x40,RED,3,0
GREEN_APPLE,LEHENGA,GA501,36x40,PINK,3,0
GREEN_APPLE,LEHENGA,GA501,36x40,PISTA,3,0
GREEN_APPLE,LEHENGA,GA503,36x40,BASIL,3,0
GREEN_APPLE,LEHENGA,GA503,36x40,CHERRY,3,0
GREEN_APPLE,LEHENGA,GA504,36x40,GREEN,3,0
GREEN_APPLE,LEHENGA,GA504,36x40,MAUVE,3,0
GREEN_APPLE,GOWN,GA361,36x40,LAVENDER ,3,0
GREEN_APPLE,GOWN,GA361,36x40,AQUA ,3,0
GREEN_APPLE,GOWN,GA362,36x40,PEACOCK_BLUE,3,0
GREEN_APPLE,GOWN,GA362,36x40,MAROON,3,0
GREEN_APPLE,GOWN,GA364,36x40,BLUE,3,0
GREEN_APPLE,GOWN,GA366,36x40,RUST,3,0
GREEN_APPLE,GOWN,GA346,36x40,CORNFLOWER_BLUE,3,0
GREEN_APPLE,GOWN,GA348,36x40,BROWN,3,0
GREEN_APPLE,GOWN,GA354,36x40,MIDNIGHT_BLUE,3,0
GREEN_APPLE,GOWN,GA354,36x40,BLUSH_PINK,3,0
