brand,category,design,size,color,sets,price
HEY_KIDS,BABA_SUIT,1201,0x1,BLACK,2,0
HEY_KIDS,BABA_SUIT,1201,2x7,BLACK,6,0
HEY_KIDS,BABA_SUIT,1201,8x12,BLACK,3,0
HEY_KIDS,BABA_SUIT,1204,0x1,BLACK,2,0
HEY_KIDS,BABA_SUIT,1204,2x7,BLACK,6,0
HEY_KIDS,BABA_SUIT,1204,8x12,BLACK,3,0
HEY_KIDS,BABA_SUIT,1208,0x1,GREEN,2,0
HEY_KIDS,BABA_SUIT,1208,2x7,GREEN,6,0
HEY_KIDS,BABA_SUIT,1208,8x12,GREEN,3,0
HEY_KIDS,BABA_SUIT,1208,0x1,ORANGE,2,0
HEY_KIDS,BABA_SUIT,1208,2x7,ORANGE,6,0
HEY_KIDS,BABA_SUIT,1208,8x12,ORANGE,3,0
HEY_KIDS,BABA_SUIT,1209,0x1,BLUE,2,0
HEY_KIDS,BABA_SUIT,1209,2x7,BLUE,6,0
HEY_KIDS,BABA_SUIT,1209,8x12,BLUE,3,0
HEY_KIDS,BABA_SUIT,1210,0x1,BLACK,2,0
HEY_KIDS,BABA_SUIT,1210,2x7,BLACK,6,0
HEY_KIDS,BABA_SUIT,1210,8x12,BLACK,3,0
HEY_KIDS,BABA_SUIT,1211,0x1,BLACK,2,0
HEY_KIDS,BABA_SUIT,1211,2x7,BLACK,6,0
HEY_KIDS,BABA_SUIT,1211,8x12,BLACK,3,0
HEY_KIDS,BABA_SUIT,1214,0x1,WINE,2,0
HEY_KIDS,BABA_SUIT,1214,2x7,WINE,6,0
HEY_KIDS,BABA_SUIT,1214,8x12,WINE,3,0
HEY_KIDS,BABA_SUIT,1214,0x1,MUSTARD,2,0
HEY_KIDS,BABA_SUIT,1214,2x7,MUSTARD,6,0
HEY_KIDS,BABA_SUIT,1214,8x12,MUSTARD,3,0
HEY_KIDS,BABA_SUIT,1216,0x1,BLACK,2,0
HEY_KIDS,BABA_SUIT,1216,2x7,BLACK,6,0
HEY_KIDS,BABA_SUIT,1216,8x12,BLACK,3,0
HEY_KIDS,BABA_SUIT,1216,0x1,GREEN,2,0
HEY_KIDS,BABA_SUIT,1216,2x7,GREEN,6,0
HEY_KIDS,BABA_SUIT,1216,8x12,GREEN,3,0
HEY_KIDS,BABA_SUIT,1216,0x1,PINK,2,0
HEY_KIDS,BABA_SUIT,1216,2x7,PINK,6,0
HEY_KIDS,BABA_SUIT,1216,8x12,PINK,3,0
HEY_KIDS,BABA_SUIT,1216,0x1,SKY_BLUE,2,0
HEY_KIDS,BABA_SUIT,1216,2x7,SKY_BLUE,6,0
HEY_KIDS,BABA_SUIT,1216,8x12,SKY_BLUE,3,0
HEY_KIDS,BABA_SUIT,1221,0x1,GREEN,2,0
HEY_KIDS,BABA_SUIT,1221,2x7,GREEN,6,0
HEY_KIDS,BABA_SUIT,1221,8x12,GREEN,3,0
HEY_KIDS,BABA_SUIT,1221,0x1,PINK,2,0
HEY_KIDS,BABA_SUIT,1221,2x7,PINK,6,0
HEY_KIDS,BABA_SUIT,1221,8x12,PINK,3,0
HEY_KIDS,BABA_SUIT,1221,0x1,GREY,2,0
HEY_KIDS,BABA_SUIT,1221,2x7,GREY,6,0
HEY_KIDS,BABA_SUIT,1221,8x12,GREY,3,0
HEY_KIDS,BABA_SUIT,1220,0x1,YELLOW,2,0
HEY_KIDS,BABA_SUIT,1220,2x7,YELLOW,6,0
HEY_KIDS,BABA_SUIT,1220,8x12,YELLOW,3,0
HEY_KIDS,BABA_SUIT,1240,0x1,FIROZI,2,0
HEY_KIDS,BABA_SUIT,1240,2x7,FIROZI,6,0
HEY_KIDS,BABA_SUIT,1240,8x12,FIROZI,3,0
HEY_KIDS,BABA_SUIT,1240,0x1,PINK,2,0
HEY_KIDS,BABA_SUIT,1240,2x7,PINK,6,0
HEY_KIDS,BABA_SUIT,1240,8x12,PINK,3,0
HEY_KIDS,BABA_SUIT,1240,0x1,BLUE,2,0
HEY_KIDS,BABA_SUIT,1240,2x7,BLUE,6,0
HEY_KIDS,BABA_SUIT,1240,8x12,BLUE,3,0
HEY_KIDS,BABA_SUIT,1248,0x1,PINK,2,0
HEY_KIDS,BABA_SUIT,1248,2x7,PINK,6,0
HEY_KIDS,BABA_SUIT,1248,8x12,PINK,3,0
HEY_KIDS,BABA_SUIT,1248,0x1,GREEN,2,0
HEY_KIDS,BABA_SUIT,1248,2x7,GREEN,6,0
HEY_KIDS,BABA_SUIT,1248,8x12,GREEN,3,0
HEY_KIDS,BABA_SUIT,1248,0x1,SKY_BLUE,2,0
HEY_KIDS,BABA_SUIT,1248,2x7,SKY_BLUE,6,0
HEY_KIDS,BABA_SUIT,1248,8x12,SKY_BLUE,3,0
HEY_KIDS,COAT_SUIT,1260,0x1,BLACK,2,0
HEY_KIDS,COAT_SUIT,1260,2x7,BLACK,6,0
HEY_KIDS,COAT_SUIT,1260,8x12,BLACK,3,0
HEY_KIDS,COAT_SUIT,1267,0x1,BLACK,2,0
HEY_KIDS,COAT_SUIT,1267,2x7,BLACK,6,0
HEY_KIDS,COAT_SUIT,1267,8x12,BLACK,3,0
HEY_KIDS,COAT_SUIT,1254,0x1,BLUE,2,0
HEY_KIDS,COAT_SUIT,1254,2x7,BLUE,6,0
HEY_KIDS,COAT_SUIT,1254,8x12,BLUE,3,0
HEY_KIDS,COAT_SUIT,1255,0x1,BLACK,2,0
HEY_KIDS,COAT_SUIT,1255,2x7,BLACK,6,0
HEY_KIDS,COAT_SUIT,1255,8x12,BLACK,3,0
HEY_KIDS,COAT_SUIT,1255,0x1,PINK,2,0
HEY_KIDS,COAT_SUIT,1255,2x7,PINK,6,0
HEY_KIDS,COAT_SUIT,1255,8x12,PINK,3,0
HEY_KIDS,COAT_SUIT,1265,0x1,BLACK,2,0
HEY_KIDS,COAT_SUIT,1265,2x7,BLACK,6,0
HEY_KIDS,COAT_SUIT,1265,8x12,BLACK,3,0
HEY_KIDS,COAT_SUIT,1261,0x1,BLACK,2,0
HEY_KIDS,COAT_SUIT,1261,2x7,BLACK,6,0
HEY_KIDS,COAT_SUIT,1261,8x12,BLACK,3,0
HEY_KIDS,COAT_SUIT,1264,0x1,BLUE,2,0
HEY_KIDS,COAT_SUIT,1264,2x7,BLUE,6,0
HEY_KIDS,COAT_SUIT,1264,8x12,BLUE,3,0
HEY_KIDS,COAT_SUIT,1264,0x1,WINE,2,0
HEY_KIDS,COAT_SUIT,1264,2x7,WINE,6,0
HEY_KIDS,COAT_SUIT,1264,8x12,WINE,3,0
HEY_KIDS,BLAZER,801,6x10,BLACK,3,0
HEY_KIDS,BLAZER,801,12X18,BLACK,4,0
HEY_KIDS,BLAZER,802,6x10,BLACK,3,0
HEY_KIDS,BLAZER,802,12x18,BLACK,4,0
HEY_KIDS,BLAZER,804,6x10,BLUE,3,0
HEY_KIDS,BLAZER,804,12x18,BLUE,4,0
HEY_KIDS,BLAZER,805,6x10,BLACK,3,0
HEY_KIDS,BLAZER,805,12x18,BLACK,4,0
HEY_KIDS,BLAZER,805,6x10,GREEN,3,0
HEY_KIDS,BLAZER,805,12x18,GREEN,4,0
HEY_KIDS,BLAZER,805,6x10,PINK,3,0
HEY_KIDS,BLAZER,805,12x18,PINK,4,0
HEY_KIDS,BLAZER,809,6x10,BLUE,3,0
HEY_KIDS,BLAZER,809,12x18,BLUE,4,0
HEY_KIDS,BLAZER,807,6x10,PINK,3,0
HEY_KIDS,BLAZER,807,12x18,PINK,4,0
HEY_KIDS,BLAZER,807,6x10,BLACK,3,0
HEY_KIDS,BLAZER,807,12x18,BLACK,4,0
HEY_KIDS,BLAZER,811,6x10,PINK,3,0
HEY_KIDS,BLAZER,811,12x18,PINK,4,0
HEY_KIDS,BLAZER,811,6x10,FIROZI,3,0
HEY_KIDS,BLAZER,811,12x18,FIROZI,4,0
HEY_KIDS,BLAZER,808,6x10,BLACK,3,0
HEY_KIDS,BLAZER,808,12x18,BLACK,4,0
HEY_KIDS,BLAZER,808,6x10,PINK,3,0
HEY_KIDS,BLAZER,808,12x18,PINK,4,0
