brand,category,design,size,color,sets,price
HHA,FROCK,501,18x22,MAHROON,3,0
HHA,FROCK,501,24x28,MAHROON,3,0
HHA,FROCK,501,18x22, T_BLUE,3,0
HHA,FROCK,501,24x28, T_BLUE,3,0
HHA,FROCK,502,18x22,PINK,3,0
HHA,FROCK,502,24x28,PINK,3,0
HHA,GOWN,502,22x32,PINK,6,0
HHA,FROCK,503,18x22,WINE,3,0
HHA,FROCK,503,24x28,WINE,3,0
HHA,GOWN,503,22x32,WINE,6,0
HHA,FROCK,503,18x22,LEMON,3,0
HHA,FROCK,503,24x28,LEMON,3,0
HHA,GOWN,503,22x32,LEMON,6,0
HHA,FROCK,503,18x22,GREEN,3,0
HHA,FROCK,503,24x28,GREEN,3,0
HHA,GOWN,503,22x32,GREEN,6,0
