brand,category,design,size,color,sets,price
HUNNY,BABA_SUIT,3344,1x6,MUSTARD,6,0
HUNNY,BABA_SUIT,3344,1x6,MAROON,6,0
HUNNY,BABA_SUIT,3344,1x6,SKY,6,0
HUNNY,BABA_SUIT,3344,1x6,YELLOW,6,0
HUNNY,BABA_SUIT,3344,1x6,GREEN,6,0
HUNNY,BABA_SUIT,3320,1x6,MUSTARD,6,0
HUNNY,BABA_SUIT,3320,1x6,O_PINK,6,0
HUNNY,BABA_SUIT,3341,1x6,BLACK,6,0
HUNNY,BABA_SUIT,3328,1x6,WHITE,6,0
HUNNY,BABA_SUIT,3328,1x6,LEMON,6,0
HUNNY,BABA_SUIT,3346,1x6,PEACH,6,0
HUNNY,BABA_SUIT,3338,1x6,MAROON,6,0
HUNNY,BABA_SUIT,3345,1x6,NAVY,6,0
HUNNY,BABA_SUIT,3343,1x6,GREEN,6,0
HUNNY,BABA_SUIT,3342,1x6,BLACK,6,0
HUNNY,BABA_SUIT,3322,1x6,LEMON,6,0
HUNNY,BABA_SUIT,3322,1x6,BUTTER,6,0
HUNNY,BABA_SUIT,3322,1x6,C_BLUE,6,0
