brand,category,design,size,color,sets,price
JISAAN,COAT_SUIT,2601,1x5,PINK,5,0
JISAAN,COAT_SUIT,2601,6x14,PINK,7,0
JISAAN,COAT_SUIT,2638,1x5,BLACK,5,0
JISAAN,COAT_SUIT,2638,6x14,BLACK,7,0
JISAAN,COAT_SUIT,5110,1x5,MAROON,5,0
JISAAN,COAT_SUIT,5110,6x14,MAROON,7,0
JISAAN,COAT_SUIT,5117,1x5,ONION,5,0
JISAAN,COAT_SUIT,5117,6x14,ONION,7,0
JISAAN,COAT_SUIT,5117,1x5,PISTA,5,0
JISAAN,COAT_SUIT,5117,6x14,PISTA,7,0
JISAAN,COAT_SUIT,5110,1x5,GREEN,5,0
JISAAN,COAT_SUIT,5110,6x14,GREEN,7,0
JISAAN,COAT_SUIT,5110,1x5,PURPLE,5,0
JISAAN,COAT_SUIT,5110,6x14,PURPLE,7,0
