Brand,Category,Design,Size,Color,Sets,Price
PREETIKA,SKIRT_TOP,501,18x28,BLUE,6,0
PREETIKA,SKIRT_TOP,502,18x28,PRINT,6,0
PREETIKA,SKIRT_TOP,503,18x28,ORANGE,6,0
PREETIKA,SKIRT_TOP,504,18x28,WHITE,6,0
PREETIKA,JUMP_SUIT,505,18x28,PEACH,6,0
PREETIKA,JUMP_SUIT,506,18x28,MULTI,6,0
PREETIKA,JUMP_SUIT,507,18x28,PINK,6,0
PREETIKA,DENIM_SHORTS,508,18x28,PINK,6,0
PREETIKA,DENIM_SHORTS,509,18x28,PEACH,6,0
PREETIKA,MIDI,510,18x28,PEACH,6,0
PREETIKA,MIDI,511,18x28,PEACH,6,0
PREETIKA,JUMP_SUIT,512,18x28,WHITE,6,0
