brand,category,design,size,color,sets,price
KOOKIES,JODHPURI,1004_1,0x5,BLACK,6,0
KOOKIES,JODHPURI,1004_2,0x5,GREEN,6,
KOOKIES,JODHPURI,1005_1,0x5,MAROON,6,
KOOKIES,JODHPURI,1006_1,0x5,ONION_PINK,6,
KOOKIES,JODHPURI,1006_2,0x5,PISTA,6,
KOOKIES,INDOWESTERN,4118_1,0x5,ORANGE,6,
KOOKIES,INDOWESTERN,4118_2,0x5,FIROZI,6,
KOOKIES,INDOWESTERN,4118_3,0x5,YELLOW,6,
KOOKIES,INDOWESTERN,4119_1,0x5,BLUE,6,
KOOKIES,INDOWESTERN,4119_2,0x5,PISTA,6,
KOOKIES,INDOWESTERN,4148_1,0x5,ONION_PINK,6,
KOOKIES,INDOWESTERN,4148_2,0x5,GREY,6,
KOOKIES,INDOWESTERN,4150_1,0x5,CREAM,6,
KOOKIES,INDOWESTERN,4151_1,0x5,ONION_PINK,6,
KOOKIES,INDOWESTERN,4151_2,0x5,YELLOW,6,
KOOKIES,INDOWESTERN,4151_3,0x5,ORANGE,6,
KOOKIES,INDOWESTERN,4151_4,0x5,GREEN,6,
KOOKIES,INDOWESTERN,434_1,0x5,MAROON,6,
KOOKIES,INDOWESTERN,434_1,6x14,MAROON,5,
KOOKIES,INDOWESTERN,434_2,0x5,MAROON,6,
KOOKIES,INDOWESTERN,434_2,6x14,MAROON,5,
KOOKIES,INDOWESTERN,5015_1,XS_L,FIROZI,4,
KOOKIES,INDOWESTERN,5015_2,XS_L,PINK,4,
KOOKIES,INDOWESTERN,5015_3,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5015_4,XS_L,PISTA,4,
KOOKIES,INDOWESTERN,5015_5,XS_L,PEACH,4,
KOOKIES,INDOWESTERN,5016_1,XS_L,PINK,4,
KOOKIES,INDOWESTERN,5016_2,XS_L,FIROZI,4,
KOOKIES,INDOWESTERN,5016_3,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5017_1,XS_L,ONION_PINK,4,
KOOKIES,INDOWESTERN,5017_2,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5017_3,XS_L,GREY,4,
KOOKIES,INDOWESTERN,5017_4,XS_L,FIROZI,4,
KOOKIES,INDOWESTERN,5018_1,XS_L,PEACH,4,
KOOKIES,INDOWESTERN,5018_2,XS_L,PISTA,4,
KOOKIES,INDOWESTERN,5018_3,XS_L,BLUE,4,
KOOKIES,KURTA,5019_1,XS_L,RED,4,
KOOKIES,KURTA,5019_2,XS_L,GREEN,4,
KOOKIES,KURTA,5019_3,XS_L,MUSTARD,4,
KOOKIES,KURTA,5019_4,XS_L,NAVY,4,
KOOKIES,KURTA,5020_1,XS_L,YELLOW,4,
KOOKIES,KURTA,5021_1,XS_L,MEHNDI,4,
KOOKIES,KURTA,5021_2,XS_L,RED,4,
KOOKIES,KURTA,5021_3,XS_L,GREY,4,
KOOKIES,KURTA,5021_4,XS_L,KHAKHI,4,
KOOKIES,KURTA,5022_1,XS_L,PINK,4,
KOOKIES,KURTA,5022_2,XS_L,PISTA,4,
KOOKIES,KURTA,5022_3,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5023_1,XS_L,RED,4,
KOOKIES,INDOWESTERN,5023_2,XS_L,D_GREEN,4,
KOOKIES,INDOWESTERN,5023_3,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5023_4,XS_L,PINK,4,
KOOKIES,JACKET,6123_1,0x5,RED,6,
KOOKIES,JACKET,6123_2,0x5,D_GREEN,6,
KOOKIES,JACKET,6123_3,0x5,YELLOW,6,
KOOKIES,JACKET,6123_4,0x5,PINK,6,
KOOKIES,KURTA,8133_1,1x10,PISTA,8,
KOOKIES,KURTA,8133_2,1x10,BLUE,8,
KOOKIES,KURTA,8134_1,1x10,ORANGE,8,
KOOKIES,KURTA,8134_2,1x10,FIROZI,8,
KOOKIES,KURTA,8134_3,1x10,YELLOW,8,
KOOKIES,KURTA,8135_1,1x10,MUSTARD,8,
KOOKIES,KURTA,8135_2,1x10,BLACK,8,
KOOKIES,KURTA,8135_3,1x10,NAVY,8,
KOOKIES,KURTA,8136_1,1x10,PINK,8,
KOOKIES,KURTA,8136_2,1x10,YELLOW,8,
KOOKIES,KURTA,8137_1,1x10,PINK,8,
KOOKIES,KURTA,8138_1,1x10,PINK,8,
KOOKIES,KURTA,8138_2,1x10,GREEN,8,
KOOKIES,KURTA,8138_3,1x10,YELLOW,8,
KOOKIES,KURTA,8139_1,1x10,MUSTARD,8,
KOOKIES,KURTA,8141_1,1x10,MEHNDI,8,
KOOKIES,KURTA,8142_1,1x10,MULTI,8,
KOOKIES,KURTA,8143_1,1x10,FIROZI,8,
KOOKIES,PATHANI,9116_1,0x5,BLACK,6,
KOOKIES,PATHANI,9116_1,6x14,BLACK,5,
KOOKIES,PATHANI,9116_2,0x5,NAVY,6,
KOOKIES,PATHANI,9116_2,6x14,NAVY,5,
KOOKIES,PATHANI,9116_3,0x5,MAROON,6,
KOOKIES,PATHANI,9116_3,6x14,MAROON,5,
KOOKIES,PATHANI,9119_1,0x5,WHITE,6,
KOOKIES,PATHANI,9119_2,0x5,BLACK,6,
KOOKIES,PATHANI,9119_3,0x5,MAROON,6,
KOOKIES,PATHANI,9119_4,0x5,NAVY,6,
KOOKIES,PATHANI,9119_5,0x5,GREEN,6,
KOOKIES,PATHANI,9119_6,0x5,BLUE,6,
KOOKIES,PATHANI,9119_7,0x5,RUST,6,
KOOKIES,PATHANI,9119_8,0x5,MUSTARD,6,
KOOKIES,KURTA,8145_1,1x10,MULTI,8,
KOOKIES,KURTA,8146_1,1x10,MULTI,8,
KOOKIES,KURTA,8147_1,1x10,MULTI,8,
KOOKIES,KURTA,8148_1,1x10,MULTI,8,
KOOKIES,KURTA,8149_1,1x10,MULTI,8,
KOOKIES,KURTA,8144_1,1x10,MULTI,8,
KOOKIES,JACKET,6125_1,0x5,WINE,6,
KOOKIES,JACKET,6125_2,0x5,GREEN,6,
KOOKIES,JACKET,6125_3,0x5,GREY,6,
KOOKIES,KURTA,5024_1,XS_L,OFF_WHITE,4,
KOOKIES,KURTA,5024_2,XS_L,MAROON,4,
KOOKIES,KURTA,5024_3,XS_L,YELLOW,4,
KOOKIES,KURTA,5024_4,XS_L,PINK,4,
KOOKIES,KURTA,5024_5,XS_L,PISTA,4,
KOOKIES,KURTA,5025_1,XS_L,FIROZI,4,
KOOKIES,KURTA,5025_2,XS_L,PINK,4,
KOOKIES,KURTA,5025_3,XS_L,YELLOW,4,
KOOKIES,INDOWESTERN,5025_4,XS_L,GREY,4,
KOOKIES,INDOWESTERN,5026_1,XS_L,GREEN,4,
KOOKIES,INDOWESTERN,5026_2,XS_L,PINK,4,
KOOKIES,INDOWESTERN,5026_3,XS_L,FIROZI,4,
KOOKIES,JACKET,6124_1,0x5,OFF_WHITE,6,
KOOKIES,JACKET,6124_2,0x5,PINK,6,
KOOKIES,JACKET,6124_3,0x5,FIROZI,6,
KOOKIES,JACKET,6124_4,0x5,YELLOW,6,
KOOKIES,JACKET,6124_4,0x5,PISTA,6,
