brand,category,design,size,color,sets,price
LITTLE_DOLLY,ONLY_FROCK,5126,18x26,PINK,5,0
LITTLE_DOLLY,ONLY_FROCK,5131,18x26,PINK,5,0
LITTLE_DOLLY,ONLY_FROCK,5132,18x26,FAWN,5,0
LITTLE_DOLLY,ONLY_FROCK,5133,18x26,GREEN,5,0
LITTLE_DOLLY,ONLY_FROCK,5134,18x26,PINK,5,0
LITTLE_DOLLY,ONLY_FROCK,5135,18x26,PINK,5,0
LITTLE_DOLLY,ONLY_FROCK,5136,18x26,PEACH,5,0
LITTLE_DOLLY,ONLY_FROCK,5137,18x26,GOLD ,5,0
LITTLE_DOLLY,ONLY_FROCK,5138,18x26,RANI,5,0
LITTLE_DOLLY,CAPRI_TOP,7685,18x26,PEACH,5,0
LITTLE_DOLLY,CAPRI_TOP,7686,18x26,RANI,5,0
LITTLE_DOLLY,CAPRI_TOP,7687,18x26,FIROZI,5,0
LITTLE_DOLLY,CAPRI_TOP,7688,18x26,PEACH,5,0
LITTLE_DOLLY,CAPRI_TOP,7689,18x26,BLACK,5,0
LITTLE_DOLLY,CAPRI_TOP,7690,18x26,BLUE,5,0
LITTLE_DOLLY,CAPRI_TOP,7691,18x26,BLUE,5,0
LITTLE_DOLLY,CAPRI_TOP,7692,18x26,MULTI,5,0
LITTLE_DOLLY,CAPRI_TOP,7693,18x26,PINK,5,0
LITTLE_DOLLY,CAPRI_TOP,7694,18x26,WHITE,5,0
LITTLE_DOLLY,CAPRI_TOP,7695,18x26,PEACH,5,0
LITTLE_DOLLY,SKIRT_TOP,8751,18x26,PEACH,5,0
LITTLE_DOLLY,SKIRT_TOP,8752,18x26,BLACK,5,0
LITTLE_DOLLY,SKIRT_TOP,8753,18x26,RANI,5,0
LITTLE_DOLLY,SKIRT_TOP,8754,18x26,PEACH,5,0
LITTLE_DOLLY,SKIRT_TOP,8755,18x26,PINK,5,0
LITTLE_DOLLY,SKIRT_TOP,8756,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9734,18x26,BLACK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9740,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9741,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9742,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9743,18x26,GREEN,5,0
LITTLE_DOLLY,DIVIDER_TOP,9744,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9745,18x26,RANI,5,0
LITTLE_DOLLY,DIVIDER_TOP,9746,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9747,18x26,PEACH,5,0
LITTLE_DOLLY,DIVIDER_TOP,9748,18x26,PEACH,5,0
LITTLE_DOLLY,DIVIDER_TOP,9749,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9749,18x26,BLACK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9750,18x26,PEACH,5,0
LITTLE_DOLLY,DIVIDER_TOP,9751,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9752,18x26,SKY_BLUE,5,0
LITTLE_DOLLY,DIVIDER_TOP,9753,18x26,PINK,5,0
LITTLE_DOLLY,DIVIDER_TOP,9754,18x26,RANI,5,0
LITTLE_DOLLY,DIVIDER_TOP,9755,18x26,BLUE,5,0
LITTLE_DOLLY,DIVIDER_TOP,9756,18x26,LEMON,5,0
LITTLE_DOLLY,DIVIDER_TOP,9757,18x26,BLUE,5,0
LITTLE_DOLLY,DIVIDER_TOP,9758,18x26,RED,5,0
LITTLE_DOLLY,DIVIDER_TOP,9759,18x26,GREEN,5,0
