brand,category,design,size,color,sets,price
LITTLE DOLLY,CAPRI TOP,7502,18-26,LEMON,5,0
LITTLE DOLLY,CAPRI TOP,7502,18-26,PEACH,5,0
LITTLE DOLLY,CAPRI TOP,7530,18-26,BLACK,5,0
LITTLE DOLLY,CAPRI TOP,7594,18-26,BLUE,5,0
LITTLE DOLLY,CAPRI TOP,7594,18-26,GREEN,5,0
LITTLE DOLLY,CAPRI TOP,7594,18-26,PINK,5,0
LITTLE DOLLY,CAPRI TOP,7600,18-26,LEMON,5,0
LITTLE DOLLY,CAPRI TOP,7644,18-26,PINK,5,0
LITTLE DOLLY,CAPRI TOP,7648,18-26,PEACH,5,0
LITTLE DOLLY,CAPRI TOP,7650,18-26,PEACH,5,0
LITTLE DOLLY,CAPRI TOP,7661,18-26,GREEN,5,0
LITTLE DOLLY,CAPRI TOP,7667,18-26,FIROZI,5,0
LITTLE DOLLY,CAPRI TOP,7668,18-26,PEACH,5,0
LITTLE DOLLY,CAPRI TOP,7668,18-26,GREEN,5,0
LITTLE DOLLY,CAPRI TOP,7669,18-26,MULTI,5,0
LITTLE DOLLY,CAPRI TOP,7671,18-26,BLUE,5,0
LITTLE DOLLY,CAPRI TOP,7672,18-26,BLUE,5,0
LITTLE DOLLY,CAPRI TOP,7672,18-26,GREEN,5,0
LITTLE DOLLY,CAPRI TOP,7676,18-26,MULTI,5,0
LITTLE DOLLY,DIVIDER TOP,9525,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9542,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9584,18-26,BLACK,5,0
LITTLE DOLLY,DIVIDER TOP,9601,18-26,BLUE,5,0
LITTLE DOLLY,DIVIDER TOP,9625,18-26,LEMON,5,0
LITTLE DOLLY,DIVIDER TOP,9625,18-26,PINK,5,0
LITTLE DOLLY,DIVIDER TOP,9625,18-26,GREEN,5,0
LITTLE DOLLY,DIVIDER TOP,9626,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9635,18-26,LEMON,5,0
LITTLE DOLLY,DIVIDER TOP,9660,18-26,PINK,5,0
LITTLE DOLLY,DIVIDER TOP,9672,18-26,BLUE,5,0
LITTLE DOLLY,DIVIDER TOP,9673,18-26,BLUE,5,0
LITTLE DOLLY,DIVIDER TOP,9690,18-26,LEMON,5,0
LITTLE DOLLY,DIVIDER TOP,9690,18-26,PINK,5,0
LITTLE DOLLY,DIVIDER TOP,9692,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9693,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9699,18-26,GREEN,5,0
LITTLE DOLLY,DIVIDER TOP,9715,18-26,WHITE,5,0
LITTLE DOLLY,DIVIDER TOP,9717,18-26,MULTI,5,0
LITTLE DOLLY,DIVIDER TOP,9718,18-26,BLUE,5,0
LITTLE DOLLY,DIVIDER TOP,9724,18-26,PEACH,5,0
LITTLE DOLLY,DIVIDER TOP,9724,18-26,BLUE,5,0
LITTLE DOLLY,DIVIDER TOP,9732,18-26,WHITE,5,0
LITTLE DOLLY,ONLY FROCK,3551,18-26,GREEN,5,0
LITTLE DOLLY,ONLY FROCK,3551,18-26,LEMON,5,0
LITTLE DOLLY,ONLY FROCK,3772,18-26,GREEN,5,0
LITTLE DOLLY,ONLY FROCK,3772,18-26,PINK,5,0
LITTLE DOLLY,ONLY FROCK,5025,18-26,MULTI,5,0
LITTLE DOLLY,ONLY FROCK,5028,18-26,MULTI,5,0
LITTLE DOLLY,ONLY FROCK,5040,18-26,PINK,5,0
LITTLE DOLLY,ONLY FROCK,5045,18-26,PEACH,5,0
LITTLE DOLLY,ONLY FROCK,5078,18-26,PINK,5,0
LITTLE DOLLY,ONLY FROCK,5079,18-26,W/RANI,5,0
LITTLE DOLLY,ONLY FROCK,5099,18-26,GREEN,5,0
LITTLE DOLLY,ONLY FROCK,5099,18-26,PEACH,5,0
LITTLE DOLLY,ONLY FROCK,5108,18-26,PINK,5,0
LITTLE DOLLY,ONLY FROCK,5110,18-26,LEMON,5,0
LITTLE DOLLY,ONLY FROCK,5121,18-26,BLUE,5,0
