brand,category,design,size,color,sets,price
LITTLE_PRERNA,PLAZO_SET,9984P,16x26,RAMA,6,0
LITTLE_PRERNA,DHOTI_ SET,9984D,16x26,YELLOW ,6,0
LITTLE_PRERNA,CHOLI,9913,16x26,YELLOW ,6,0
LITTLE_PRERNA,CHOLI,10008,24x36,NAVY,7,0
LITTLE_PRERNA,KURTI_SET,1110,18x28,YELLOW ,6,0
LITTLE_PRERNA,KURTI_SET,1110,18x28,GREEN ,6,0
LITTLE_PRERNA,KURTI_SET,1110,18x28,TOMATO ,6,0
LITTLE_PRERNA,KURTI_SET,1110,18x28,PEACOCK ,6,0
LITTLE_PRERNA,KURTI_SET,1069,16x22,MAROON ,4,0
LITTLE_PRERNA,KURTI_SET,1069,16x22,D_RAMA,4,0
