brand,category,design,size,color,sets,price
LEUTINO,SHIRT,6001,2x6,BLUE,5,0
LEUTINO,SHIRT,6001,8x16,BLUE,5,0
LEUTINO,SHIRT,6001,2x6,GREEN,5,0
LEUTINO,SHIRT,6001,8x16,GREEN,5,0
LEUTINO,SHIRT,6001,2x6,BLACK,5,0
LEUTINO,SHIRT,6001,8x16,BLACK,5,0
LEUTINO,SHIRT,6011,2x6,L_PEACH,5,0
LEUTINO,SHIRT,6008,2x6,L_PEACH,5,0
LEUTINO,SHIRT,6002,2x6,GREEN,5,0
LEUTINO,SHIRT,6002,8x16,GREEN,5,0
LEUTINO,SHIRT,6002,2x6,ORANGE,5,0
LEUTINO,SHIRT,6002,8x16,ORANGE,5,0
LEUTINO,SHIRT,6003,2x6,L_SKY,5,0
LEUTINO,SHIRT,6003,8x16,L_SKY,5,0
LEUTINO,SHIRT,6003,2x6,WHITE,5,0
LEUTINO,SHIRT,6003,8x16,WHITE,5,0
LEUTINO,SHIRT,6003,2x6,YELLOW,5,0
LEUTINO,SHIRT,6003,8x16,YELLOW,5,0
LEUTINO,SHIRT,6004,2x6,BLUE,5,0
LEUTINO,SHIRT,6004,8x16,BLUE,5,0
LEUTINO,SHIRT,6004,2x6,RED,5,0
LEUTINO,SHIRT,6004,8x16,RED,5,0
LEUTINO,SHIRT,6004,2x6,L_GREEN,5,0
LEUTINO,SHIRT,6004,8x16,L_GREEN,5,0
LEUTINO,SHIRT,6004,2x6,BLACK,5,0
LEUTINO,SHIRT,6004,8x16,BLACK,5,0
LEUTINO,SHIRT,6004,2x6,MUSTRED,5,0
LEUTINO,SHIRT,6004,8x16,MUSTRED,5,0
LEUTINO,SHIRT,6005,2x6,D_SKY,5,0
LEUTINO,SHIRT,6005,8x16,D_SKY,5,0
LEUTINO,SHIRT,6005,2x6,WHITE,5,0
LEUTINO,SHIRT,6005,8x16,WHITE,5,0
LEUTINO,SHIRT,6005,2x6,PINK,5,0
LEUTINO,SHIRT,6005,8x16,PINK,5,0
LEUTINO,SHIRT,6005,2x6,MUSTRED,5,0
LEUTINO,SHIRT,6005,8x16,MUSTRED,5,0
LEUTINO,SHIRT,6005,2x6,BLACK,5,0
LEUTINO,SHIRT,6005,8x16,BLACK,5,0
LEUTINO,SHIRT,6006,2x6,YELLOW,5,0
LEUTINO,SHIRT,6006,8x16,YELLOW,5,0
LEUTINO,SHIRT,6008,8x16,L_PEACH,5,0
LEUTINO,SHIRT,6009,2x6,L_PEACH,5,0
LEUTINO,SHIRT,6006,2x6,WHITE,5,0
LEUTINO,SHIRT,6006,8x16,WHITE,5,0
LEUTINO,SHIRT,6009,8x16,L_PEACH,5,0
LEUTINO,SHIRT,6011,8x16,L_PEACH,5,0
LEUTINO,SHIRT,6007,2x6,BLACK,5,0
LEUTINO,SHIRT,6007,8x16,BLACK,5,0
LEUTINO,SHIRT,6007,2x6,L_SKY,5,0
LEUTINO,SHIRT,6007,8x16,L_SKY,5,0
LEUTINO,SHIRT,6007,2x6,WHITE,5,0
LEUTINO,SHIRT,6007,8x16,WHITE,5,0
LEUTINO,SHIRT,6007,2x6,MARRON,5,0
LEUTINO,SHIRT,6007,8x16,MARRON,5,0
LEUTINO,SHIRT,6007,2x6,M_GREEN,5,0
LEUTINO,SHIRT,6007,8x16,M_GREEN,5,0
LEUTINO,SHIRT,6008,2x6,MARRON,5,0
LEUTINO,SHIRT,6008,8x16,MARRON,5,0
LEUTINO,SHIRT,6008,2x6,BLACK,5,0
LEUTINO,SHIRT,6008,8x16,BLACK,5,0
LEUTINO,KURTA,6016,2x6,L_PEACH,5,0
LEUTINO,KURTA,6016,8x16,L_PEACH,5,0
LEUTINO,SHIRT,6008,2x6,WHITE,5,0
LEUTINO,SHIRT,6008,8x16,WHITE,5,0
LEUTINO,SHIRT,6008,2x6,P_GREEN ,5,0
LEUTINO,SHIRT,6008,8x16,P_GREEN ,5,0
LEUTINO,SHIRT,6008,2x6,GREEN,5,0
LEUTINO,SHIRT,6008,8x16,GREEN,5,0
LEUTINO,SHIRT,6009,2x6,WHITE,5,0
LEUTINO,SHIRT,6009,8x16,WHITE,5,0
LEUTINO,SHIRT,6009,2x6,L_GREEN,5,0
LEUTINO,SHIRT,6009,8x16,L_GREEN,5,0
LEUTINO,KURTA,6028,2x6,L_PEACH,5,0
LEUTINO,KURTA,6028,8x16,L_PEACH,5,0
LEUTINO,SHIRT,6010,2x6,ORANGE,5,0
LEUTINO,SHIRT,6010,8x16,ORANGE,5,0
LEUTINO,SHIRT,6010,2x6,GREEN,5,0
LEUTINO,SHIRT,6010,8x16,GREEN,5,0
LEUTINO,SHIRT,6011,2x6,M_GREEN,5,0
LEUTINO,SHIRT,6011,8x16,M_GREEN,5,0
LEUTINO,SHIRT,6011,2x6,BLUE,5,0
LEUTINO,SHIRT,6011,8x16,BLUE,5,0
LEUTINO,SHIRT,6011,2x6,MUSTRED,5,0
LEUTINO,SHIRT,6011,8x16,MUSTRED,5,0
LEUTINO,SHIRT,6011,2x6,L_GREEN,5,0
LEUTINO,SHIRT,6011,8x16,L_GREEN,5,0
LEUTINO,SHIRT,6011,2x6,BLACK,5,0
LEUTINO,SHIRT,6011,8x16,BLACK,5,0
LEUTINO,SHIRT,6029,2x6,L_PEACH,5,0
LEUTINO,SHIRT,6029,8x16,L_PEACH,5,0
LEUTINO,KURTA,6012,2x6,ORANGE,5,0
LEUTINO,KURTA,6012,8x16,ORANGE,5,0
LEUTINO,KURTA,6012,2x6,YELLOW,5,0
LEUTINO,KURTA,6012,8x16,YELLOW,5,0
LEUTINO,KURTA,6013,2x6,RED,5,0
LEUTINO,KURTA,6013,8x16,RED,5,0
LEUTINO,KURTA,6013,2x6,MUSTRED,5,0
LEUTINO,KURTA,6013,8x16,MUSTRED,5,0
LEUTINO,KURTA,6013,2x6,B_GREEN,5,0
LEUTINO,KURTA,6013,8x16,B_GREEN,5,0
LEUTINO,KURTA,6013,2x6,YELLOW,5,0
LEUTINO,KURTA,6013,8x16,YELLOW,5,0
LEUTINO,KURTA,6013,2x6,WHITE,5,0
LEUTINO,KURTA,6013,8x16,WHITE,5,0
LEUTINO,KURTA,6013,2x6,L_GREEN,5,0
LEUTINO,KURTA,6013,8x16,L_GREEN,5,0
LEUTINO,SHIRT,6007,2x6,NAVY,5,0
LEUTINO,SHIRT,6007,8x16,NAVY,5,0
LEUTINO,SHIRT,6014,2x6,D_BLUE,5,0
LEUTINO,SHIRT,6014,8x16,D_BLUE,5,0
LEUTINO,SHIRT,6014,2x6,L_BLUE,5,0
