brand,category,design,size,color,sets,price
MOODELS,SHORTS,953,22x30,BLACK,5,0
MOODELS,SHORTS,953,32x40,BLACK,5,0
MOODELS,SHORTS,951,22x30,BLUE,5,0
MOODELS,SHORTS,951,22x30,SKY,5,0
MOODELS,SHORTS,951,32x40,BLUE,5,0
MOODELS,SHORTS,951,32x40,SKY,5,0
MOODELS,SHORTS,951,22x30,BLACK,5,0
MOODELS,SHORTS,951,32x40,BLACK,5,0
MOODELS,SHORTS,952,22x30,L_BLUE,5,0
MOODELS,SHORTS,952,32x40,L_BLUE,5,0
MOODELS,SHORTS,952,22x30,BLACK,5,0
MOODELS,SHORTS,952,32x40,BLACK,5,0
MOODELS,SHORTS,952,22x30,D_BLUE,5,0
MOODELS,SHORTS,952,32x40,D_BLUE,5,0
MOODELS,SHORTS,952,22x30,SKY_BLUE,5,0
MOODELS,SHORTS,952,32x40,SKY_BLUE,5,0
