brand,category,design,size,color,sets,price
MOODELS,TOP,122,22x36,PINK,8,0
MOODELS,TOP,122,22x36,MUSTARD,8,0
MOODELS,TOP,122,22x36,GAJRI,8,0
MOODELS,TOP,122,22x36,RAMA ,8,0
MOODELS,TOP,122,22x36,GREEN ,8,0
MOODELS,TOP,122,22x36,SKY,8,0
MOODELS,TOP,121,22x36,O_PINK,8,0
MOODELS,TOP,121,22x36,MEHNDI,8,0
MOODELS,TOP,121,22x36,NAVY,8,0
MOODELS,TOP,121,22x36,PINK,8,0
MOODELS,TOP,120,22x36,MUSTARD,8,0
MOODELS,TOP,120,22x36,BLACK,8,0
MOODELS,TOP,120,22x36,MEHNDI,8,0
MOODELS,TOP,120,22x36,ONION,8,0
MOODELS,TOP,120,22x36,WINE,8,0
MOODELS,TOP,116,22x36,PINK ,8,0
MOODELS,TOP,116,22x36,GREEN ,8,0
MOODELS,TOP,116,22x36,GREY,8,0
MOODELS,TOP,116,22x36,SKY,8,0
MOODELS,TOP,116,22x36,GAJRI,8,0
MOODELS,TOP,111,22x36,RAMA ,8,0
MOODELS,TOP,111,22x36,MUSTARD,8,0
MOODELS,TOP,111,22x36,SKY,8,0
MOODELS,TOP,111,22x36,PINK,8,0
MOODELS,TOP,111,22x36,GREEN ,8,0
MOODELS,TOP,106,22x36,GREEN ,8,0
MOODELS,TOP,106,22x36,WINE,8,0
MOODELS,TOP,106,22x36,D_GREY,8,0
MOODELS,TOP,106,22x36,WHITE ,8,0
MOODELS,TOP,106,22x36,MEHNDI,8,0
MOODELS,TOP,117,22x36,PEACH ,8,0
MOODELS,TOP,117,22x36,PINK,8,0
MOODELS,TOP,118,22x36,WHITE ,8,0
MOODELS,TOP,118,22x36,PINK,8,0
MOODELS,TOP,118,22x36,RAMA ,8,0
MOODELS,TOP,118,22x36,MUSTARD,8,0
MOODELS,TOP,118,22x36,GAJRI,8,0
MOODELS,TOP,118,22x36,SKY,8,0
MOODELS,TOP,115,22x36,MEHNDI,8,0
MOODELS,TOP,115,22x36,BLACK,8,0
MOODELS,TOP,115,22x36,GREY,8,0
MOODELS,TOP,115,22x36,T_BLUE,8,0
MOODELS,TOP,115,22x36,MUSTARD,8,0
MOODELS,TOP,115,22x36,ONION,8,0
MOODELS,TOP,114,22x36,GREY,8,0
MOODELS,TOP,114,22x36,GAJRI,8,0
MOODELS,TOP,114,22x36,GREEN ,8,0
MOODELS,TOP,114,22x36,PINK,8,0
MOODELS,TOP,114,22x36,SKY,8,0
MOODELS,TOP,107,22x36,SKY,8,0
MOODELS,TOP,107,22x36,MUSTARD,8,0
MOODELS,TOP,107,22x36,RAMA ,8,0
MOODELS,TOP,107,22x36,GAJRI,8,0
MOODELS,TOP,107,22x36,WHITE ,8,0
MOODELS,TOP,107,22x36,PINK,8,0
MOODELS,TOP,108,22x36,SKY,8,0
MOODELS,TOP,108,22x36,GREEN ,8,0
MOODELS,TOP,108,22x36,PINK,8,0
MOODELS,TOP,108,22x36,GAJRI,8,0
MOODELS,TOP,109,22x36,RAMA ,8,0
MOODELS,TOP,109,22x36,GAJRI,8,0
MOODELS,TOP,109,22x36,PINK,8,0
MOODELS,TOP,109,22x36,MUSTARD,8,0
MOODELS,TOP,109,22x36,GREEN ,8,0
MOODELS,TOP,109,22x36,WHITE ,8,0
MOODELS,TOP,102,22x36,GAJRI,8,0
MOODELS,TOP,102,22x36,WHITE ,8,0
MOODELS,TOP,102,22x36,SKY,8,0
MOODELS,TOP,102,22x36,RAMA ,8,0
MOODELS,TOP,102,22x36,MUSTARD,8,0
MOODELS,TOP,102,22x36,PINK,8,0
MOODELS,TOP,112,22x36,MUSTARD,8,0
