brand,category,design,size,color,sets,price
PARI,BALL_GOWN,10708,22x32,WINE,6,0
PARI,BALL_GOWN,10708,22x32,T_BLUE,6,0
PARI,BALL_GOWN,163,22x32,T_BLUE,6,0
PARI,BALL_GOWN,163,22x32,WINE,6,0
PARI,BALL_GOWN,163,22x32,RAMA,6,0
PARI,BALL_GOWN,4650,22x32,WINE,6,0
PARI,BALL_GOWN,4650,22x32,N_BLUE,6,0
PARI,BALL_GOWN,4650,22x32,BLACK,6,0
PARI,BALL_GOWN,4650,22x32,RED,6,0
PARI,BALL_GOWN,651,22x32,MULTI,6,0
PARI,BALL_GOWN,648,22x30,O_PINK,5,0
PARI,BALL_GOWN,648,32x38,O_PINK,4,0
PARI,BALL_GOWN,648,22x30,BLACK,5,0
PARI,BALL_GOWN,648,32x38,BLACK,4,0
PARI,BALL_GOWN,648,22x30,R_GREEN,5,0
PARI,BALL_GOWN,648,32x38,R_GREEN,4,0
PARI,BALL_GOWN,5011,22x30,T_BLUE,5,0
PARI,BALL_GOWN,5011,32x38,T_BLUE,4,0
PARI,BALL_GOWN,5011,22x30,RAMA,5,0
PARI,BALL_GOWN,5011,32x38,RAMA,4,0
PARI,BALL_GOWN,5001,22x30,PISTA,5,0
PARI,BALL_GOWN,5001,32x38,PISTA,4,0
PARI,BALL_GOWN,5001,22x30,PINK,5,0
PARI,BALL_GOWN,5001,32x38,PINK,4,0
PARI,BALL_GOWN,5002,22x30,T_BLUE,5,0
PARI,BALL_GOWN,5002,32x38,T_BLUE,4,0
PARI,BALL_GOWN,5002,22x30,RANI,5,0
PARI,BALL_GOWN,5002,32x38,RANI,4,0
PARI,BALL_GOWN,4058,22x30,TOMATO,5,0
PARI,BALL_GOWN,4058,32x38,TOMATO,4,0
PARI,BALL_GOWN,679,22x30,PEACH,5,0
PARI,BALL_GOWN,679,32x38,PEACH,4,0
PARI,BALL_GOWN,4653,22x30,GREY,5,0
PARI,BALL_GOWN,4653,32x38,GREY,4,0
PARI,BALL_GOWN,873,22x32,P_BLUE,6,0
PARI,BALL_GOWN,873,22x32,RAMA,6,0
PARI,BALL_GOWN,10742,22x32,RED,6,0
PARI,BALL_GOWN,10742,22x32,RAMA,6,0
PARI,BALL_GOWN,10742,22x32,WINE,6,0
PARI,BALL_GOWN,9310,22x30,O_PINK,5,0
PARI,BALL_GOWN,9310,32x38,O_PINK,4,0
PARI ,FROCK,10736,16x22,SKY_BLUE,4,0
PARI ,FROCK,10736,24x28,SKY_BLUE,3,0
PARI ,FROCK,6156,16x22,GREY,4,0
PARI ,FROCK,6156,24x28,GREY,3,0
PARI ,FROCK,10728,16x22,WHITE,4,0
PARI ,FROCK,10728,24x28,WHITE,3,0
PARI ,FROCK,652,16x22,RAMA,4,0
PARI ,FROCK,652,24x28,RAMA,3,0
PARI ,FROCK,652,16x22,O_PINK,4,0
PARI ,FROCK,652,24x28,O_PINK,3,0
PARI ,FROCK,652,16x22,BLACK,4,0
PARI ,FROCK,652,24x28,BLACK,3,0
PARI ,FROCK,4651,16x22,WINE,4,0
PARI ,FROCK,4651,24x28,WINE,3,0
PARI ,FROCK,4651,16x22,RED,4,0
PARI ,FROCK,4651,24x28,RED,3,0
