brand,category,design,size,color,sets,price
PREETIKA,SET,1251,24x34,BLACK_WHITE,6,
PREETIKA,SET,1251,36x40,BLACK_WHITE,3,
PREETIKA,SET,1252,24x34,BLUE,6,
PREETIKA,SET,1252,36x40,BLUE,3,
PREETIKA,MIDI,1253,24x34,MUSTARD,6,
PREETIKA,MIDI,1253,24x34,ONION,6,
PREETIKA,MIDI,1253,24x34,PISTA,6,
PREETIKA,MIDI,1253,36x40,MUSTARD,3,
PREETIKA,MIDI,1253,36x40,ONION,3,
PREETIKA,MIDI,1253,36x40,PISTA,3,
PREETIKA,SET,1254,24x34,PINK,6,
PREETIKA,SET,1254,36x40,PINK,3,
PREETIKA,SET,1255,24x34,YELLOW,6,
PREETIKA,SET,1255,24x34,PISTA,6,
PREETIKA,SET,1255,24x34,ONION,6,
PREETIKA,SET,1255,36x40,YELLOW,3,
PREETIKA,SET,1255,36x40,PISTA,3,
PREETIKA,SET,1255,36x40,ONION,3,
PREETIKA,SET,1256,24x34,YELLOW,6,
PREETIKA,SET,1256,24x34,PISTA,6,
PREETIKA,SET,1256,24x34,ONION,6,
PREETIKA,SET,1256,36x40,YELLOW,3,
PREETIKA,SET,1256,36x40,PISTA,3,
PREETIKA,SET,1256,36x40,ONION,3,
PREETIKA,SET,1257,24x34,FIROZI,6,
PREETIKA,SET,1257,24x34,GREEN,6,
PREETIKA,SET,1257,24x34,PEACH,6,
PREETIKA,SET,1257,24x34,YELLOW,6,
PREETIKA,SET,1257,24x34,PINK,6,
PREETIKA,SET,1257,36x40,FIROZI,3,
PREETIKA,SET,1257,36x40,GREEN,3,
PREETIKA,SET,1257,36x40,PEACH,3,
PREETIKA,SET,1257,36x40,YELLOW,3,
PREETIKA,SET,1257,36x40,PINK,3,
PREETIKA,SET,1258,24x34,PINK,6,
PREETIKA,SET,1258,36x40,PINK,3,
PREETIKA,SET,1259,24x34,MULTI,6,
PREETIKA,SET,1259,36x40,MULTI,3,
PREETIKA,SET,1260,24x34,BLUE,6,
PREETIKA,SET,1260,36x40,BLUE,3,
PREETIKA,SET,1261,24x34,GREEN,6,
PREETIKA,SET,1261,36x40,GREEN,3,
PREETIKA,SET,1262,24x34,FAWN,6,
PREETIKA,SET,1262,36x40,FAWN,3,
