brand,category,design,size,color,sets,price
RUSH,SHIRT,1101,22x30,MAROON,5,0
RUSH,SHIRT,1101,22x30,PEACH,5,0
RUSH,SHIRT,1101,22x30,PINK,5,0
RUSH,SHIRT,1101,22x30,GREEN,5,0
RUSH,SHIRT,1101,22x30,PISTA,5,0
RUSH,SHIRT,1101,22x30,FIROZI,5,0
RUSH,SHIRT,1101,22x30,OFF_WHITE,5,0
RUSH,SHIRT,1101,22x30,ONION,5,0
RUSH,SHIRT,1101,22x30,MUSTARD,5,0
RUSH,SHIRT,1101,32x40,MAROON,5,0
RUSH,SHIRT,1101,32x40,PEACH,5,0
RUSH,SHIRT,1101,32x40,PINK,5,0
RUSH,SHIRT,1101,32x40,GREEN,5,0
RUSH,SHIRT,1101,32x40,PISTA,5,0
RUSH,SHIRT,1101,32x40,FIROZI,5,0
RUSH,SHIRT,1101,32x40,OFF_WHITE,5,0
RUSH,SHIRT,1101,32x40,ONION,5,0
RUSH,SHIRT,1101,32x40,MUSTARD,5,0
RUSH,TOP,1102,22x30,PINK,5,0
RUSH,TOP,1102,22x30,YELLOW,5,0
RUSH,TOP,1102,22x30,WHITE,5,0
RUSH,TOP,1102,22x30,BLACK,5,0
RUSH,TOP,1102,22x30,MULTI,5,0
RUSH,TOP,1102,32x40,PINK,5,0
RUSH,TOP,1102,32x40,YELLOW,5,0
RUSH,TOP,1102,32x40,WHITE,5,0
RUSH,TOP,1102,32x40,BLACK,5,0
RUSH,TOP,1102,32x40,MULTI,5,0
RUSH,TOP,1103,22x30,MULTI,5,0
RUSH,TOP,1103,22x30,WHITE,5,0
RUSH,TOP,1103,22x30,PISTA,5,0
RUSH,TOP,1103,22x30,ONION,5,0
RUSH,TOP,1103,32x40,MULTI,5,0
RUSH,TOP,1103,32x40,WHITE,5,0
RUSH,TOP,1103,32x40,PISTA,5,0
RUSH,TOP,1103,32x40,ONION,5,0
RUSH,CORD_SET,1104,22x30,1,5,0
RUSH,CORD_SET,1104,22x30,2,5,0
RUSH,CORD_SET,1104,22x30,3,5,0
RUSH,CORD_SET,1104,22x30,4,5,0
RUSH,CORD_SET,1104,22x30,5,5,0
RUSH,CORD_SET,1104,22x30,6,5,0
RUSH,CORD_SET,1104,22x30,7,5,0
RUSH,CORD_SET,1104,22x30,8,5,0
RUSH,CORD_SET,1104,22x30,9,5,0
RUSH,CORD_SET,1104,22x30,10,5,0
RUSH,CORD_SET,1104,32x40,1,5,0
RUSH,CORD_SET,1104,32x40,2,5,0
RUSH,CORD_SET,1104,32x40,3,5,0
RUSH,CORD_SET,1104,32x40,4,5,0
RUSH,CORD_SET,1104,32x40,5,5,0
RUSH,CORD_SET,1104,32x40,6,5,0
RUSH,CORD_SET,1104,32x40,7,5,0
RUSH,CORD_SET,1104,32x40,8,5,0
RUSH,CORD_SET,1104,32x40,9,5,0
RUSH,CORD_SET,1104,32x40,10,5,0
RUSH,TOP,1105,22x30,PINK,5,0
RUSH,TOP,1105,22x30,PEACH,5,0
RUSH,TOP,1105,22x30,MAROON,5,0
RUSH,TOP,1105,22x30,GREEN,5,0
RUSH,TOP,1105,22x30,BLUE,5,0
RUSH,TOP,1105,22x30,YELLOW,5,0
RUSH,TOP,1105,32x40,PINK,5,0
RUSH,TOP,1105,32x40,PEACH,5,0
RUSH,TOP,1105,32x40,MAROON,5,0
RUSH,TOP,1105,32x40,GREEN,5,0
RUSH,TOP,1105,32x40,BLUE,5,0
RUSH,TOP,1105,32x40,YELLOW,5,0
RUSH,CORD_SET,1106,22x30,PINK,5,0
RUSH,CORD_SET,1106,22x30,PEACH,5,0
RUSH,CORD_SET,1106,22x30,GREEN,5,0
RUSH,CORD_SET,1106,22x30,YELLOW,5,0
RUSH,CORD_SET,1106,22x30,BLACK,5,0
RUSH,CORD_SET,1106,32x40,PINK,5,0
RUSH,CORD_SET,1106,32x40,PEACH,5,0
RUSH,CORD_SET,1106,32x40,GREEN,5,0
RUSH,CORD_SET,1106,32x40,YELLOW,5,0
RUSH,CORD_SET,1106,32x40,BLACK,5,0
RUSH,SHIRT,1107,22x30,OFF_WHITE,5,0
RUSH,SHIRT,1107,22x30,PEACH,5,0
RUSH,SHIRT,1107,22x30,GREEN,5,0
RUSH,SHIRT,1107,22x30,YELLOW,5,0
RUSH,SHIRT,1107,22x30,PISTA,5,0
RUSH,SHIRT,1107,22x30,FIROZI,5,0
RUSH,SHIRT,1107,32x40,OFF_WHITE,5,0
RUSH,SHIRT,1107,32x40,PEACH,5,0
RUSH,SHIRT,1107,32x40,GREEN,5,0
RUSH,SHIRT,1107,32x40,YELLOW,5,0
RUSH,SHIRT,1107,32x40,PISTA,5,0
RUSH,SHIRT,1107,32x40,FIROZI,5,0
RUSH,CORD_SET,1108,22x30,YELLOW,5,0
RUSH,CORD_SET,1108,22x30,GREEN,5,0
RUSH,CORD_SET,1108,22x30,PEACH,5,0
RUSH,CORD_SET,1108,22x30,PINK,5,0
RUSH,CORD_SET,1108,32x40,YELLOW,5,0
RUSH,CORD_SET,1108,32x40,GREEN,5,0
RUSH,CORD_SET,1108,32x40,PEACH,5,0
