brand,category,design,size,color,sets,price
SEETAPHAL,SKIRT_TOP,2350A,22x30,PEACH,5,0
SEETAPHAL,SKIRT_TOP,2350B,22x30,LEMON,5,0
SEETAPHAL,SKIRT_DANGRI,2343A,22x30,PEACH,5,0
SEETAPHAL,SKIRT_DANGRI,2343B,22x30,C_GREEN,5,0
SEETAPHAL,SKIRT_TOP,2352,22x30,GREEN,5,0
SEETAPHAL,SKIRT_TOP,2348A,22x30,FIROZI,5,0
SEETAPHAL,SKIRT_TOP,2348B,22x30,PINK,5,0
SEETAPHAL,SKIRT_JACKET,2351,22x30,PEACH,5,0
SEETAPHAL,PLEATE_MIDI,2356A,22x30,BLUE,5,0
SEETAPHAL,PLEATE_MIDI,2356B,22x30,PEACH,5,0
SEETAPHAL,PLEATE_MIDI,2357,22x30,MUSTARD,5,0
SEETAPHAL,PLEATE_MIDI,2360,22x30,BLUE,5,0
SEETAPHAL,PLEATE_MIDI,2365,22x30,PINK,5,0
SEETAPHAL,PLAZO,2361A,22x30,C_GREEN,5,0
SEETAPHAL,PLAZO,2361B,22x30,O_PINK,5,0
SEETAPHAL,ONE_SIDED_MIDI,2355,22x30,PINK,5,0
SEETAPHAL,MIDI,2354A,22x30,PINK,5,0
SEETAPHAL,MIDI,2354B,22x30,PEACH,5,0
SEETAPHAL,FROCK,2353A,22x30,PINK,5,0
SEETAPHAL,FROCK,2353B,22x30,ORANGE,5,0
SEETAPHAL,DIVIDER,2346A,22x30,BLUE,5,0
SEETAPHAL,DIVIDER,2346B,22x30,RED,5,0
SEETAPHAL,DIVIDER,2347A,22x30,COFFEE,5,0
SEETAPHAL,DIVIDER,2347B,22x30,GREEN,5,0
SEETAPHAL,DIVIDER,2345A,22x30,BLUE,5,0
SEETAPHAL,DIVIDER,2345B,22x30,LEMON,5,0
SEETAPHAL,DENIM_SHORTS,2359,22x30,PINK,5,0
SEETAPHAL,JACKET_SKIRT,2341A,22x30,PINK,5,0
SEETAPHAL,JACKET_SKIRT,2341B,22x30,PEACH,5,0
SEETAPHAL,JACKET_SKIRT,2358A,22x30,PINK,5,0
SEETAPHAL,JACKET_SKIRT,2358B,22x30,LEMON,5,0
SEETAPHAL,DANGRI,2344A,22x30,WHITE,5,0
SEETAPHAL,DANGRI,2344B,22x30,PEACH,5,0
SEETAPHAL,SKIRT_TOP,2349A,22x30,BLACK,5,0
SEETAPHAL,SKIRT_TOP,2349B,22x30,PEACH,5,0
SEETAPHAL,SKIRT_DANGRI,2342A,22x30,RED,5,0
SEETAPHAL,SKIRT_DANGRI,2342B,22x30,BLUE,5,0
SEETAPHAL,CAPRI_LENIN,2362A,22x30,PINK,5,0
SEETAPHAL,CAPRI_LENIN,2362B,22x30,BLUE,5,0
