brand,category,design,size,color,sets,price
SNOWPINK,DRESS,1001,24x36,BLUE,7,0
SNOWPINK,DRESS,1001,24x36,MAROON,7,0
SNOWPINK,DRESS,1002,24x36,WHITE,7,0
SNOWPINK,DRESS,1002,24x36,PEACH,7,0
SNOWPINK,DRESS,1002,24x36,SKY,7,0
SNOWPINK,DRESS,1002,24x36,PARROT,7,0
SNOWPINK,DRESS,1002,24x36,PINK,7,0
SNOWPINK,DRESS,1003,24x36,PEACH,7,0
SNOWPINK,DRESS,1003,24x36,GREEN,7,0
SNOWPINK,DRESS,1003,24x36,YELLOW,7,0
SNOWPINK,DRESS,1004,24x36,ONION,7,0
SNOWPINK,DRESS,1004,24x36,PEACH,7,0
SNOWPINK,DRESS,1004,24x36,TOMATO,7,0
SNOWPINK,DRESS,1004,24x36,PURPLE,7,0
SNOWPINK,DRESS,1004,24x36,C_GREEN,7,0
SNOWPINK,DRESS,1004,24x36,WHITE,7,0
SNOWPINK,DRESS,1004,24x36,LOVENDER,7,0
SNOWPINK,JUMPER,1005,22x34,PINK (CHEX),7,0
SNOWPINK,JUMPER,1005,36x40,PINK (CHEX),3,0
SNOWPINK,JUMPER,1005,22x34,PINK (STRIPE),7,0
SNOWPINK,JUMPER,1005,36x40,PINK (STRIPE),3,0
SNOWPINK,JUMPER,1006,22x34,PINK,7,0
SNOWPINK,JUMPER,1006,36x40,PINK,3,0
SNOWPINK,JUMPER,1006,22x34,LEMON,7,0
SNOWPINK,JUMPER,1006,36x40,LEMON,3,0
SNOWPINK,JUMPER,1006,22x34,C_GREEN,7,0
SNOWPINK,JUMPER,1006,36x40,C_GREEN,3,0
SNOWPINK,JUMPER,1007,22x34,WHITE,7,0
SNOWPINK,JUMPER,1007,36x40,WHITE,3,0
SNOWPINK,JUMPER,1007,22x34,SKY,7,0
SNOWPINK,JUMPER,1007,36x40,SKY,3,0
SNOWPINK,JUMPER,1007,22x34,PARROT,7,0
SNOWPINK,JUMPER,1007,36x40,PARROT,3,0
SNOWPINK,JUMPER,1007,22x34,PEACH,7,0
SNOWPINK,JUMPER,1007,36x40,PEACH,3,0
SNOWPINK,JUMPER,1007,22x34,PINK,7,0
SNOWPINK,JUMPER,1007,36x40,PINK,3,0
SNOWPINK,JUMPER,1008,22x34,WHITE,7,0
SNOWPINK,JUMPER,1008,36x40,WHITE,3,0
SNOWPINK,JUMPER,1008,22x34,YELLOW,7,0
SNOWPINK,JUMPER,1008,36x40,YELLOW,3,0
SNOWPINK,JUMPER,1008,22x34,PEACH,7,0
SNOWPINK,JUMPER,1008,36x40,PEACH,3,0
SNOWPINK,JUMPER,1008,22x34,SKY,7,0
SNOWPINK,JUMPER,1008,36x40,SKY,3,0
SNOWPINK,JUMPER,1009,22x34,N_BLUE,7,0
SNOWPINK,JUMPER,1009,36x40,N_BLUE,3,0
SNOWPINK,JUMPER,1009,22x34,BLACK,7,0
SNOWPINK,JUMPER,1009,36x40,BLACK,3,0
SNOWPINK,MIDI,1010,22x34,LEMON,7,0
SNOWPINK,MIDI,1010,36x40,LEMON,3,0
SNOWPINK,MIDI,1010,22x34,PEACH,7,0
SNOWPINK,MIDI,1010,36x40,PEACH,3,0
SNOWPINK,MIDI,1011,22x34,PINK,7,0
SNOWPINK,MIDI,1011,36x40,PINK,3,0
SNOWPINK,MIDI,1011,22x34,C_GREEN,7,0
SNOWPINK,MIDI,1011,36x40,C_GREEN,3,0
SNOWPINK,MIDI,1011,22x34,PEACH,7,0
SNOWPINK,MIDI,1011,36x40,PEACH,3,0
SNOWPINK,MIDI,1011,22x34,ORANGE,7,0
SNOWPINK,MIDI,1011,36x40,ORANGE,3,0
SNOWPINK,MIDI,1012,22x34,SKY,7,0
SNOWPINK,MIDI,1012,36x40,SKY,3,0
SNOWPINK,MIDI,1012,22x34,WHITE,7,0
SNOWPINK,MIDI,1012,36x40,WHITE,3,0
SNOWPINK,MIDI,1012,22x34,PINK,7,0
SNOWPINK,MIDI,1012,36x40,PINK,3,0
SNOWPINK,MIDI,1012,22x34,LEMON,7,0
