brand,category,design,size,color,sets,price
LITTLE_PRERNA,PLAZO,7048,18x28,BLUE,6,0
LITTLE_PRERNA,PLAZO,7048,18x28,WINE,6,0
LITTLE_PRERNA,DHOTI,7057,18x28,PISTA,6,0
LITTLE_PRERNA,DHOTI,7057,18x28,O_PINK,6,0
LITTLE_PRERNA,DHOTI,7059,18x28,LEMON,6,0
LITTLE_PRERNA,DHOTI,7060,18x28,RANI,6,0
LITTLE_PRERNA,GHARARA,7031,18x28,FIROZI,6,0
LITTLE_PRERNA,GHARARA,7031,18x28,LEMON,6,0
LITTLE_PRERNA,DHOTI,7043,18x28,FIROZI,6,0
LITTLE_PRERNA,DHOTI,7043,18x28,LEMON,6,0
LITTLE_PRERNA,DHOTI,7043,18x28,TOMATO,6,0
LITTLE_PRERNA,DHOTI,7043,18x28,RAMA,6,0
LITTLE_PRERNA,PLAZO,7009,18x28,LEMON,6,0
LITTLE_PRERNA,PLAZO,7009,18x28,ORANGE,6,0
LITTLE_PRERNA,PLAZO,8027,18x28,RAMA,6,0
