brand,category,design,size,color,sets,price
SUNBY,FROCKS,2323,18x26,DENIM,5,0
SUNBY,FROCKS,2323B,28x34,DENIM,4,0
SUNBY,JUMP_SUIT,2324,18x26,A,5,0
SUNBY,JUMP_SUIT,2324,18x26,B,5,0
SUNBY,JUMP_SUIT,2324B,28x34,A,4,0
SUNBY,JUMP_SUIT,2324B,28x34,B,4,0
SUNBY,JUMP_SUIT,2325,18x26,DENIM,5,0
SUNBY,FROCKS,2326,18x26,BLUE,5,0
SUNBY,FROCKS,2326,18x26,BROWN,5,0
SUNBY,TWO_PIECE_PLAZO,2327,18x26,MUSTARD,5,0
SUNBY,TWO_PIECE_PLAZO,2327,18x26,PEACH,5,0
SUNBY,TWO_PIECE_PLAZO,2327,18x26,ONION,5,0
SUNBY,FROCKS,2107,18x26,A,5,0
SUNBY,FROCKS,2107,18x26,B,5,0
SUNBY,FROCKS,2107B,28x34,A,4,0
SUNBY,FROCKS,2107B,28x34,B,4,0
SUNBY,FROCKS,1827,18x26,A,5,0
SUNBY,FROCKS,1827B,18x26,A,4,0
SUNBY,FROCKS,2328,18x26,GREEN,5,0
SUNBY,FROCKS,2328,18x26,BLUE,5,0
SUNBY,FROCKS,2328,18x26,YELLOW,5,0
SUNBY,FROCKS,2328,18x26,WHITE,5,0
SUNBY,FROCKS,2328B,28x34,GREEN,4,0
SUNBY,FROCKS,2328B,28x34,BLUE,4,0
SUNBY,FROCKS,2328B,28x34,YELLOW,4,0
SUNBY,FROCKS,2328B,28x34,WHITE,4,0
SUNBY,FROCKS,2329,18x26,BLUE,5,0
SUNBY,FROCKS,2329,18x26,GREY,5,0
SUNBY,FROCKS,2329,18x26,YELLOW,5,0
SUNBY,FROCKS,2329B,28x34,BLUE,4,0
SUNBY,FROCKS,2329B,28x34,GREY,4,0
SUNBY,FROCKS,2329B,28x34,YELLOW,4,0
SUNBY,FROCKS,2330,18x26,GREEN ,5,0
SUNBY,FROCKS,2330,18x26,PINK,5,0
SUNBY,FROCKS,2330B,28x34,GREEN,4,0
SUNBY,FROCKS,2330B,28x34,PINK,4,0
SUNBY,FROCKS,2510,18x26,BLUE,5,0
SUNBY,FROCKS,2510,18x26,TOMATO,5,0
SUNBY,FROCKS,2510B,28x34,BLUE,4,0
SUNBY,FROCKS,2510B,28x34,TOMATO,4,0
SUNBY,FROCKS,2511,18x26,A,5,0
SUNBY,FROCKS,2511B,28x34,A,4,0
SUNBY,MIDI,2250,18x26,GREEN,5,0
SUNBY,MIDI,2250,18x26,WHITE,5,0
SUNBY,MIDI,2251,18x26,GREEN,5,0
SUNBY,MIDI,2251,18x26,PINK,5,0
SUNBY,MIDI,2251B,28x34,GREEN,4,0
SUNBY,MIDI,2251B,28x34,PINK,4,0
SUNBY,MIDI,2252,18x26,YELLOW,5,0
SUNBY,MIDI,2252,18x26,PINK,5,0
SUNBY,MIDI,2252B,28x34,YELLOW,4,0
SUNBY,MIDI,2252B,28x34,PINK,4,0
SUNBY,JUMP_SUIT,2332,18x26,MULTI,5,0
SUNBY,JUMP_SUIT,2332B,18x26,MULTI,4,0
