brand,category,design,size,color,sets,price
SUNBY,MIDI,2408,18x26,LIGHT_DENIM,5,0
SUNBY,MIDI,2408,18x26,DARK_DENIM,5,0
SUNBY,JUMP_SUIT,2417,18x26,LIGHT_DENIM,5,0
SUNBY,JUMP_SUIT,2417,18x26,DARK_DENIM,5,0
SUNBY,JUMP_SUIT,2421,18x26,LIGHT_DENIM,5,0
SUNBY,JUMP_SUIT,2421,18x26,DARK_DENIM,5,0
SUNBY,MIDI,2405,18x26,LIGHT_DENIM,5,0
SUNBY,MIDI,2405,18x26,DARK_DENIM,5,0
SUNBY,JUMP_SUIT,2401,18x26,LIGHT_DENIM,5,0
SUNBY,JUMP_SUIT,2401,18x26,DARK_DENIM,5,0
SUNBY,DUNGAREE,2402,18x26,LIGHT_DENIM,5,0
SUNBY,DUNGAREE,2402,18x26,DARK_DENIM,5,0
SUNBY,MIDI,2411,18x26,LIGHT_DENIM,5,0
SUNBY,MIDI,2411,18x26,DARK_DENIM,5,0
SUNBY,DUNGAREE,2403,18x26,LIGHT_DENIM,5,0
SUNBY,DUNGAREE,2403,18x26,DARK_DENIM,5,0
SUNBY,MIDI,2439,18x26,LIGHT_DENIM,5,0
SUNBY,MIDI,2439,18x26,DARK_DENIM,5,0
SUNBY,MIDI,2407,18x26,LIGHT_DENIM,5,0
SUNBY,MIDI,2407,18x26,DARK_DENIM,5,0
SUNBY,JUMP_SUIT,2418,18x26,LIGHT_DENIM,5,0
SUNBY,JUMP_SUIT,2418,18x26,DARK_DENIM,5,0
SUNBY,TWO_PIECE_SHORTS,2420,18x26,LIGHT_DENIM,5,0
SUNBY,TWO_PIECE_SHORTS,2420,18x26,DARK_DENIM,5,0
SUNBY,MIDI,2431,18x26,PEACH,5,0
SUNBY,MIDI,2431,18x26,PINK,5,0
SUNBY,MIDI,2431,18x26,GREEN,5,0
SUNBY,JUMP_SUIT,2425,18x26,SKY_BLUE,5,0
SUNBY,JUMP_SUIT,2425,18x26,PINK,5,0
SUNBY,JUMP_SUIT,2425,18x26,PEACH,5,0
SUNBY,JUMP_SUIT,2429,18x26,PEACH,5,0
SUNBY,JUMP_SUIT,2429,18x26,PINK,5,0
SUNBY,JUMP_SUIT,2429,18x26,GREEN,5,0
SUNBY,MIDI,2427,18x26,PEACH,5,0
SUNBY,MIDI,2427,18x26,PINK,5,0
SUNBY,MIDI,2427,18x26,GREEN,5,0
SUNBY,MIDI,2428,18x26,PEACH,5,0
