brand,category,design,size,color,sets,price
KOOKIES,KURTA,1131_1,36x46,RED,6,0
KOOKIES,KURTA,1131_2,36x46,NAVY,6,0
KOOKIES,KURTA,1131_3,36x46,MUSTARD,6,0
KOOKIES,KURTA,1131_4,36x46,GREEN,6,0
KOOKIES,KURTA,1132_1,36x46,RED,6,0
KOOKIES,KURTA,1132_2,36x46,MUSTARD,6,0
KOOKIES,KURTA,1132_3,36x46,MEHNDI,6,0
KOOKIES,KURTA,1851_1,36x46,MAROON,6,0
KOOKIES,KURTA,1851_2,36x46,MUSTARD,6,0
KOOKIES,KURTA,1851_4,36x46,RAMA_GREEN,6,0
KOOKIES,KURTA,1851_6,36x46,BLACK,6,0
KOOKIES,KURTA,1851_7,36x46,CREAM,6,0
KOOKIES,KURTA,1138_3,36x46,YELLOW,6,0
KOOKIES,KURTA,1138_1,36x46,PINK,6,0
