brand,category,design,size,color,sets,price
XPLOSURE,SET,7605,S_XL,LEMON,4,0
XPLOSURE,SET,7605,M_XXL,LEMON,4,0
XPLOSURE,SET,7605,S_XL,SKY,4,0
XPLOSURE,SET,7605,M_XXL,SKY,4,0
XPLOSURE,SET,3903,S_XL,GOLD,4,0
XPLOSURE,SET,3903,M_XXL,GOLD,4,0
XPLOSURE,SET,7604,S_XL,GOLD,4,0
XPLOSURE,SET,7604,M_XXL,GOLD,4,0
XPLOSURE,SET,7562,S_XL,GOLD,4,0
XPLOSURE,SET,7562,M_XXL,GOLD,4,0
XPLOSURE,SET,7587,S_XL,PEACH,4,0
XPLOSURE,SET,7587,M_XXL,PEACH,4,0
XPLOSURE,SET,7351,S_XL,MAROON,4,0
XPLOSURE,SET,7351,M_XXL,MAROON,4,0
