brand,category,design,size,color,sets,price
ZARNA,LONG_GOWN,6001,18x32,BLUE,8,0
ZARNA,LONG_GOWN,6001,18x32,GREEN ,8,0
ZARNA,LONG_GOWN,6001,18x32,MUSTARD,8,0
ZARNA,LONG_GOWN,6001,18x32,NAVY_BLUE,8,0
ZARNA,LONG_GOWN,6001,18x32,PINK,8,0
ZARNA,LONG_GOWN,6001,18x32,RANI,8,0
ZARNA,LONG_GOWN,6001,18x32,WINE,8,0
ZARNA,CHOLI_SET,6002,18x24,PINK,4,0
ZARNA,CHOLI_SET,6002,18x24,RAMA_GREEN,4,0
ZARNA,CHOLI_SET,6003,18x24,LEMON ,4,0
ZARNA,CHOLI_SET,6003,18x24,PINK,4,0
ZARNA,CHOLI_SET,6004,18x24,LEMON ,4,0
ZARNA,CHOLI_SET,6004,18x24,PINK,4,0
ZARNA,DHOTI_SET,6005,18x24,MUSTARD,4,0
ZARNA,DHOTI_SET,6005,18x24,PINK,4,0
ZARNA,DHOTI_SET,6006,18x24,MUSTARD,4,0
ZARNA,FROCK,6007,18x24,GREEN ,4,0
ZARNA,FROCK,6007,18x24,NAVY_BLUE,4,0
ZARNA,FROCK,6007,18x24,WINE,4,0
ZARNA,LONG_GOWN,6008,24x38,CREAM,8,0
ZARNA,LONG_GOWN,6009,24x38,RAMA_GREEN,8,0
ZARNA,DHOTI_SET,6010,24x38,GREEN ,8,0
ZARNA,DHOTI_SET,6010,24x38,PINK,8,0
ZARNA,DHOTI_SET,6011,18x24,PINK,4,0
ZARNA,LONG_GOWN,6012,18x28,LEMON ,6,0
ZARNA,LONG_GOWN,6012,18x28,PINK,6,0
ZARNA,LONG_GOWN,6012,18x28,PEACH,6,0
ZARNA,SKIRT_TOP ,6013,24x38,LEMON ,8,0
ZARNA,SKIRT_TOP ,6013,24x38,PINK,8,0
ZARNA,CHOLI_SET,6014,24x38,GREEN ,8,0
ZARNA,LONG_GOWN,6015,24x38,WINE,8,0
ZARNA,PLAZO_SET,6016,24x38,LEMON ,8,0
ZARNA,PLAZO_SET,6016,24x38,PEACH,8,0
ZARNA,PLAZO_SET,6017,24x38,CREAM,8,0
ZARNA,PLAZO_SET,6018,24x38,RAMA_GREEN,8,0
ZARNA,LONG_GOWN,6019,24x38,MAROON,8,0
ZARNA,CHOLI_SET,6020,24x38,CREAM,8,0
ZARNA,CHOLI_SET,6021,24x38,C_GREEN,8,0
ZARNA,LONG_GOWN,6022,24x38,GREEN ,8,0
ZARNA,LONG_GOWN,6023,24x38,GREEN ,8,0
ZARNA,LONG_GOWN,6024,24x38,MAROON,8,0
ZARNA,LONG_GOWN,6024,24x38,ORANGE,8,0
ZARNA,CHOLI_SET,6025,24x38,GREEN ,8,0
ZARNA,LONG_GOWN,6026,24x38,PINK,8,0
