brand,category,design,size,color,sets,price
ZEELCREATION1,KILLOT_SET,5001,24x34,PINK,6,0
ZEELCREATION1,KILLOT_SET,5001,24x34,PEACH,6,0
ZEELCREATION1,KILLOT_SET,5002,24x34,BLUE,6,0
ZEELCREATION1,KILLOT_SET,5002,24x34,PINK,6,0
ZEELCREATION1,KILLOT_SET,5003,24x34,BLUE,6,0
ZEELCREATION1,KILLOT_SET,5003,24x34,LEMON ,6,0
ZEELCREATION1,KILLOT_SET,5003,24x34,PEACH,6,0
ZEELCREATION1,KILLOT_SET,5003,24x34,WHITE,6,0
ZEELCREATION1,KILLOT_SET,5004,24x34,LEMON ,6,0
ZEELCREATION1,KILLOT_SET,5004,24x34,PEACH,6,0
ZEELCREATION1,KILLOT_SET,5004,24x34,WHITE,6,0
ZEELCREATION1,KILLOT_SET,5005,24x34,BLUE,6,0
ZEELCREATION1,KILLOT_SET,5005,24x34,GREEN ,6,0
ZEELCREATION1,KILLOT_SET,5005,24x34,RUST ,6,0
ZEELCREATION1,KILLOT_SET,5005,24x34,WINE,6,0
ZEELCREATION1,KILLOT_SET,5006,24x34,PEACH,6,0
ZEELCREATION1,KILLOT_SET,5006,24x34,WHITE,6,0
ZEELCREATION1,KILLOT_SET,5007,24x34,MAROON,6,0
ZEELCREATION1,KILLOT_SET,5007,24x34,NAVY_BLUE,6,0
ZEELCREATION1,KILLOT_SET,5008,24x34,FAWN,6,0
ZEELCREATION1,KILLOT_SET,5008,24x34,PINK,6,0
ZEELCREATION1,SKIRT_TOP_SET,5009,22x34,GREEN ,7,0
ZEELCREATION1,SKIRT_TOP_SET,5009,22x34,MAROON,7,0
ZEELCREATION1,SKIRT_TOP_SET,5010,22x34,PEACH,7,0
ZEELCREATION1,SKIRT_TOP_SET,5010,22x34,WHITE,7,0
ZEELCREATION1,SKIRT_TOP_SET,5011,22x34,BROWN,7,0
ZEELCREATION1,SKIRT_TOP_SET,5011,22x34,GREY,7,0
ZEELCREATION1,SKIRT_TOP_SET,5012,22x34,PEACH,7,0
ZEELCREATION1,SKIRT_TOP_SET,5012,22x34,GREY,7,0
ZEELCREATION1,SKIRT_TOP_SET,5013,22x34,PINK,7,0
ZEELCREATION1,SKIRT_TOP_SET,5013,22x34,PEACH,7,0
ZEELCREATION1,SKIRT_TOP_SET,5014,22x34,BROWN ,7,0
ZEELCREATION1,SKIRT_TOP_SET,5014,22x34,PEACH,7,0
ZEELCREATION1,MIDI,5015,22x34,MAROON,7,0
ZEELCREATION1,MIDI,5015,22x34,WINE,7,0
ZEELCREATION1,MIDI,5016,22x34,LEMON ,7,0
ZEELCREATION1,MIDI,5016,22x34,WINE,7,0
ZEELCREATION1,MIDI,5017,22x34,PINK,7,0
ZEELCREATION1,MIDI,5017,22x34,PEACH,7,0
ZEELCREATION1,MIDI,5018,22x34,BLACK ,7,0
ZEELCREATION1,MIDI,5018,22x34,RED,7,0
ZEELCREATION1,MIDI,5019,22x34,LEMON ,7,0
ZEELCREATION1,MIDI,5019,22x34,PINK,7,0
ZEELCREATION1,MIDI,5019,22x34,PEACH,7,0
ZEELCREATION1,MIDI,5019,22x34,WHITE,7,0
ZEELCREATION1,JUMP_SUIT,5020,22x34,PEACH,7,0
ZEELCREATION1,JUMP_SUIT,5020,22x34,WHITE,7,0
ZEELCREATION1,KILLOT_SET,5027,24x34,GREEN ,6,0
ZEELCREATION1,KILLOT_SET,5027,24x34,PURPLE,6,0
ZEELCREATION1,JKT_KILLOT_SET,5028,24x34,NAVY_BLUE,6,0
ZEELCREATION1,JKT_KILLOT_SET,5028,24x34,PINK,6,0
ZEELCREATION1,KILLOT_SET,5029,24x34,MAROON,6,0
ZEELCREATION1,KILLOT_SET,5030,24x34,BLUE,6,0
ZEELCREATION1,KILLOT_SET,5030,24x34,COFFEE,6,0
ZEELCREATION1,KILLOT_SET,5030,24x34,NAVY_BLUE,6,0
ZEELCREATION1,KILLOT_SET,5031,24x34,MUSTARD,6,0
ZEELCREATION1,CORD_SET,5032,24x34,BLUE,6,0
ZEELCREATION1,CORD_SET,5032,24x34,GREEN ,6,0
ZEELCREATION1,CORD_SET,5033,24x34,GREY,6,0
ZEELCREATION1,CORD_SET,5033,24x34,PEACH,6,0
ZEELCREATION1,MIDI,5034,22x34,GREEN ,7,0
ZEELCREATION1,MIDI,5034,22x34,PINK,7,0
ZEELCREATION1,MIDI,5035,22x34,MAROON,7,0
ZEELCREATION1,MIDI,5036,22x34,BLACK ,7,0
ZEELCREATION1,MIDI,5036,22x34,GREEN ,7,0
ZEELCREATION1,MIDI,5036,22x34,MAROON,7,0
ZEELCREATION1,MIDI,5037,22x34,FAWN,7,0
ZEELCREATION1,MIDI,5038,22x34,BLUE,7,0
ZEELCREATION1,MIDI,5038,22x34,ORANGE,7,0
ZEELCREATION1,MIDI,5039,22x34,MAROON,7,0
ZEELCREATION1,CORD_SET,5040,24x34,BLUE,6,0
ZEELCREATION1,CORD_SET,5040,24x34,PINK,6,0
ZEELCREATION1,CORD_SET,5041,24x34,MUSTARD,6,0
ZEELCREATION1,CORD_SET,5041,24x34,RUST ,6,0
ZEELCREATION1,CORD_SET,5042,24x34,BLUE,6,0
ZEELCREATION1,CORD_SET,5042,24x34,BROWN,6,0
ZEELCREATION1,CORD_SET,5042,24x34,GREEN ,6,0
ZEELCREATION1,MIDI,5043,22x34,BLACK ,7,0
ZEELCREATION1,MIDI,5043,22x34,NAVY_BLUE,7,0
ZEELCREATION1,JKT_MIDDY,5046,22x34,PINK,7,0
ZEELCREATION1,JKT_MIDDY,5047,22x34,LEMON ,7,0
ZEELCREATION1,JKT_MIDDY,5047,22x34,WHITE,7,0
ZEELCREATION1,KILLOT_DANGRI,5048,22x34,WINE,7,0
