brand,category,design,size,color,sets,price
ZEEL_CREATION,SKIRT_TOP,5050,28x40,MAROON,7,0
ZEEL_CREATION,SKIRT_TOP,5050,28x40,BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5050,28x40,WINE,7,0
ZEEL_CREATION,SKIRT_TOP,5051,28x40,BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5051,28x40,BLACK,7,0
ZEEL_CREATION,SKIRT_TOP,5051,28x40,MAROON,7,0
ZEEL_CREATION,SKIRT_TOP,5051,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5051,28x40,PEACH,7,0
ZEEL_CREATION,SKIRT_TOP,5052,28x40,GREEN,7,0
ZEEL_CREATION,SKIRT_TOP,5052,28x40,MAROON,7,0
ZEEL_CREATION,SKIRT_TOP,5052,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5053,28x40,PEACH,7,0
ZEEL_CREATION,SKIRT_TOP,5053,28x40,WHITE,7,0
ZEEL_CREATION,MIDI,5053,28x40,LEMON,7,0
ZEEL_CREATION,PLAZO_SET,5054,28x40,MAROON,7,0
ZEEL_CREATION,PLAZO_SET,5054,28x40,GREEN,7,0
ZEEL_CREATION,LEGIN_SET,5055,28x40,LEMON,7,0
ZEEL_CREATION,LEGIN_SET,5055,28x40,PEACH,7,0
ZEEL_CREATION,LEGIN_SET,5055,28x40,WHITE,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,BLUE,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,BLACK,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,GREEN,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,MAROON,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,LONG_GOWN,5056,28x40,PEACH,7,0
ZEEL_CREATION,LONG_GOWN,5057,28x40,GREEN ,7,0
ZEEL_CREATION,LONG_GOWN,5057,28x40,PEACH,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,BLUE,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,GREEN,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,LIGHT_PINK,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,PINK,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,PEACH,7,0
ZEEL_CREATION,LONG_GOWN,5058,28x40,WINE,7,0
ZEEL_CREATION,CORD_SET,5059,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,CORD_SET,5059,28x40,PURPLE,7,0
ZEEL_CREATION,CORD_SET,5059,28x40,RED,7,0
ZEEL_CREATION,LONG_GOWN,5060,28x40,BLUE,7,0
ZEEL_CREATION,LONG_GOWN,5060,28x40,PINK,7,0
ZEEL_CREATION,PLAZO_SET,5061,28x40,MAROON,7,0
ZEEL_CREATION,PLAZO_SET,5061,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,PLAZO_SET,5061,28x40,PEACH,7,0
ZEEL_CREATION,PLAZO_SET,5061,28x40,RAMA_GREEN,7,0
ZEEL_CREATION,SKIRT_TOP,5062,28x40,BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5062,28x40,GREEN,7,0
ZEEL_CREATION,SKIRT_TOP,5063,28x40,MAROON,7,0
ZEEL_CREATION,SKIRT_TOP,5063,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,SKIRT_TOP,5063,28x40,PEACH,7,0
ZEEL_CREATION,SKIRT_TOP,5063,28x40,RAMA_GREEN,7,0
ZEEL_CREATION,CORD_SET,5064,28x40,GREEN,7,0
ZEEL_CREATION,CORD_SET,5064,28x40,PURPLE,7,0
ZEEL_CREATION,CORD_SET,5064,28x40,WINE,7,0
ZEEL_CREATION,LONG_GOWN,5065,28x40,MAROON,7,0
ZEEL_CREATION,LONG_GOWN,5065,28x40,NAVY_BLUE,7,0
ZEEL_CREATION,KAFTAN_SET,5066,28x40,PINK,7,0
ZEEL_CREATION,KAFTAN_SET,5066,28x40,RAMA_GREEN,7,0
ZEEL_CREATION,SKIRT_TOP,5067,28x40,GREEN,7,0
ZEEL_CREATION,NAYRA_SET,5068,28x40,GREEN,7,0
ZEEL_CREATION,NAYRA_SET,5068,28x40,LEMON,7,0
ZEEL_CREATION,NAYRA_SET,5068,28x40,PEACH,7,0
ZEEL_CREATION,CORD_SET,5069,28x40,BLUE,7,0
ZEEL_CREATION,CORD_SET,5069,28x40,CREAM,7,0
ZEEL_CREATION,CORD_SET,5069,28x40,WHITE,7,0
ZEEL_CREATION,LEGIN_SET,5070,28x40,GREEN,7,0
ZEEL_CREATION,LEGIN_SET,5070,28x40,PURPLE,7,0
ZEEL_CREATION,LEGIN_SET,5070,28x40,WINE,7,0
ZEEL_CREATION,KAFTAN_SET,5071,28x40,BLUE,7,0
ZEEL_CREATION,KAFTAN_SET,5071,28x40,LEMON,7,0
ZEEL_CREATION,LEGIN_SET,5072,28x40,BLUE,7,0
ZEEL_CREATION,LEGIN_SET,5072,28x40,PEACH,7,0
ZEEL_CREATION,LEGIN_SET,5073,28x40,WHITE,7,0
