brand,category,design,size,color,sets,price
ZIYA,1_PIC_ALINE,4001,18x28,PINK,6,0
ZIYA,2_PIC_ALINE,4001,18x28,PEACH,6,0
ZIYA,3_PIC_ALINE,4001,18x28,GREEN,6,0
ZIYA,1_PIC_ALINE,4002,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4002,18x28,PEACH,6,0
ZIYA,1_PIC_ALINE,4002,18x28,WHITE,6,0
ZIYA,1_PIC_ALINE,4003,18x28,LEMON,6,0
ZIYA,1_PIC_ALINE,4003,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4004,18x28,FONE ,6,0
ZIYA,1_PIC_ALINE,4004,18x28,WHITE,6,0
ZIYA,HOT_SHOT,4005,18x28,LEMON,6,0
ZIYA,HOT_SHOT,4005,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4006,18x28,LEMON,6,0
ZIYA,1_PIC_ALINE,4006,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4007,18x28,PINK ,6,0
ZIYA,1_PIC_ALINE,4007,18x28,PEACH,6,0
ZIYA,SKIRT_TOP,4008,18x28,PINK ,6,0
ZIYA,SKIRT_TOP,4008,18x28,LEMON,6,0
ZIYA,KILLOT_SET,4009,S_XXL,PEACH,5,0
ZIYA,KILLOT_SET,4009,S_XXL,WHITE,5,0
ZIYA,MIDI,4010,S_XXL,GREEN,5,0
ZIYA,MIDI,4010,S_XXL,WHITE,5,0
ZIYA,MIDI,4011,S_XXL,LEMON,5,0
ZIYA,MIDI,4011,S_XXL,WHITE,5,0
ZIYA,MIDI,4012,S_XXL,PINK,5,0
ZIYA,MIDI,4012,S_XXL,PEACH,5,0
ZIYA,MIDI,4013,S_XXL,BLUE,5,0
ZIYA,MIDI,4013,S_XXL,LEMON,5,0
ZIYA,MIDI,4013,S_XXL,PINK,5,0
ZIYA,MIDI,4014,S_XXL,GREEN,5,0
ZIYA,MIDI,4014,S_XXL,LEMON,5,0
ZIYA,MIDI,4014,S_XXL,PEACH,5,0
ZIYA,SHORT_JUMPSUIT,4015,S_XXL,BLUE,5,0
ZIYA,SHORT_JUMPSUIT,4015,S_XXL,GREEN,5,0
ZIYA,MIDI,4016,S_XXL,GREEN,5,0
ZIYA,MIDI,4016,S_XXL,LEMON,5,0
ZIYA,MIDI,4016,S_XXL,PEACH,5,0
ZIYA,SHORT_JUMPSUIT,4017,S_XXL,LEMON,5,0
ZIYA,SHORT_JUMPSUIT,4017,S_XXL,PINK,5,0
ZIYA,MIDI,4018,S_XXL,GREEN,5,0
ZIYA,MIDI,4018,S_XXL,LEMON,5,0
ZIYA,MIDI,4018,S_XXL,PEACH,5,0
ZIYA,MIDI,4019,S_XXL,LEMON,5,0
ZIYA,MIDI,4019,S_XXL,PINK,5,0
ZIYA,MIDI,4019,S_XXL,PURPLE,5,0
ZIYA,MIDI,4020,S_XXL,PINK,5,0
ZIYA,MIDI,4020,S_XXL,RED,5,0
ZIYA,MIDI,4021,S_XXL,LEMON,5,0
ZIYA,MIDI,4021,S_XXL,PINK,5,0
ZIYA,SHORT_JUMPSUIT,4022,18x28,LEMON,6,0
ZIYA,SHORT_JUMPSUIT,4022,18x28,PINK,6,0
ZIYA,SHORT_JUMPSUIT,4023,18x28,BLUE,6,0
ZIYA,SHORT_JUMPSUIT,4023,18x28,LEMON,6,0
ZIYA,SHORT_JUMPSUIT,4023,18x28,WHITE,6,0
ZIYA,SHORT_JUMPSUIT,4024,18x28,BLUE,6,0
ZIYA,SHORT_JUMPSUIT,4024,18x28,LEMON,6,0
ZIYA,SHORT_JUMPSUIT,4024,18x28,PINK,6,0
ZIYA,SHORT_JUMPSUIT,4024,18x28,WHITE,6,0
ZIYA,HOT_SHOT,4025,18x28,GREEN,6,0
ZIYA,HOT_SHOT,4025,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4026,18x28,GREEN,6,0
ZIYA,1_PIC_ALINE,4026,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4027,18x28,BLUE,6,0
ZIYA,1_PIC_ALINE,4027,18x28,PEACH,6,0
ZIYA,KILLOT_SET,4028,18x28,N_BLUE,6,0
ZIYA,KILLOT_SET,4028,18x28,LEMON,6,0
ZIYA,MIDI,4029,18x28,PINK,6,0
ZIYA,SKIRT_TOP,4030,18x28,GREEN,6,0
ZIYA,SKIRT_TOP,4030,18x28,PEACH,6,0
ZIYA,1_PIC_ALINE,4031,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4031,18x28,RAMA_GREEN,6,0
ZIYA,SKIRT_TOP,4032,18x28,CREAM,6,0
ZIYA,SKIRT_TOP,4032,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4033,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4033,18x28,PEACH,6,0
ZIYA,SKIRT_TOP,4034,18x28,BLUE,6,0
ZIYA,SKIRT_TOP,4034,18x28,PINK,6,0
ZIYA,SKIRT_TOP,4034,18x28,PEACH,6,0
ZIYA,1_PIC_ALINE,4035,18x28,PEACH,6,0
ZIYA,1_PIC_ALINE,4035,18x28,PURPLE,6,0
ZIYA,1_PIC_ALINE,4036,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4037,18x28,BLUE,6,0
ZIYA,1_PIC_ALINE,4037,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4037,18x28,PEACH,6,0
ZIYA,2_PIC_DANGRI,4038,18x28,PINK,6,0
ZIYA,2_PIC_DANGRI,4038,18x28,PEACH,6,0
ZIYA,1_PIC_ALINE,4039,18x28,BLUE,6,0
ZIYA,HOT_SHOT,4040,18x28,PEACH,6,0
ZIYA,HOT_SHOT,4040,18x28,BLUE,6,0
ZIYA,1_PIC_ALINE,4041,18x28,LEMON,6,0
ZIYA,1_PIC_ALINE,4041,18x28,WHITE,6,0
ZIYA,2_PIC_DANGRI,4042,18x28,LEMON,6,0
ZIYA,2_PIC_DANGRI,4042,18x28,PINK,6,0
ZIYA,1_PIC_ALINE,4043,18x28,LEMON,6,0
ZIYA,1_PIC_ALINE,4043,18x28,PINK,6,0
ZIYA,KILLOT_SET,4044,18x28,PINK,6,0
ZIYA,KILLOT_SET,4044,18x28,PEACH,6,0
ZIYA,KILLOT_SET,4044,18x28,WHITE,6,0
ZIYA,1_PIC_ALINE,4045,18x28,LEMON,6,0
ZIYA,1_PIC_ALINE,4045,18x28,PINK,6,0
ZIYA,SKIRT_TOP,4046,18x28,MAROON,6,0
ZIYA,SKIRT_TOP,4047,18x28,LEMON,6,0
ZIYA,SKIRT_TOP,4047,18x28,RED,6,0
ZIYA,SKIRT_TOP,4048,18x28,PINK,6,0
ZIYA,KILLOT_SET,4048,18x28,PEACH,6,0
ZIYA,KILLOT_SET,4048,18x28,WHITE,6,0
ZIYA,KILLOT_SET,4049,18x28,BROWN,6,0
ZIYA,KILLOT_SET,4049,18x28,GREEN,6,0
ZIYA,SKIRT_TOP,4050,18x28,BLUE,6,0
ZIYA,SKIRT_TOP,4050,18x28,PINK,6,0
