brand,category,design,size,color,sets,price
ZIYA,MIDI,4062,18x28,C_GREEN,6,0
ZIYA,MIDI,4062,18x28,PINK,6,0
ZIYA,MIDI,4062,18x28,PEACH,6,0
ZIYA,MIDI,4062,18x28,WHITE,6,0
ZIYA,MIDI,4063,18x28,BLUE,6,0
ZIYA,MIDI,4063,18x28,PINK,6,0
ZIYA,MIDI,4063,18x28,PEACH,6,0
ZIYA,MIDI,4063,18x28,WHITE,6,0
ZIYA,MIDI,4067,18x28,C_GREEN,6,0
ZIYA,MIDI,4067,18x28,PINK,6,0
ZIYA,MIDI,4067,18x28,PEACH,6,0
ZIYA,MIDI,4067,18x28,WHITE,6,0
ZIYA,SKIRT_TOP,4068,18x28,FAWN,6,0
ZIYA,MIDI,4080,18x28,LEMON,6,0
ZIYA,MIDI,4080,18x28,PINK,6,0
ZIYA,MIDI,4081,18x28,MAROON,6,0
ZIYA,MIDI,4086,18x28,GREEN,6,0
ZIYA,MIDI,4086,18x28,PINK,6,0
ZIYA,MIDI,4089,18x28,GREEN,6,0
ZIYA,MIDI,4089,18x28,RUST,6,0
ZIYA,MIDI,4096,18x28,PINK,6,0
ZIYA,MIDI,4096,18x28,RUST,6,0
ZIYA,MIDI,4096,18x28,LEMON,6,0
ZIYA,MIDI,4098,18x28,GREEN,6,0
ZIYA,MIDI,4098,18x28,PINK,6,0
ZIYA,MIDI,4098,18x28,PEACH,6,0
ZIYA,MIDI,4099,18x28,N_BLUE,6,0
ZIYA,MIDI,4099,18x28,PINK,6,0
ZIYA,MIDI,4100,18x28,MAROON,6,0
ZIYA,MIDI,4100,18x28,RAMA_GREEN,6,0
ZIYA,MIDI,4101,18x28,LEMON,6,0
ZIYA,MIDI,4101,18x28,PINK,6,0
ZIYA,MIDI,4102,18x28,BLUE,6,0
ZIYA,MIDI,4102,18x28,GREEN,6,0
ZIYA,MIDI,4103,18x28,PINK,6,0
ZIYA,MIDI,4104,18x28,PINK,6,0
ZIYA,MIDI,4105,18x28,BLUE,6,0
ZIYA,MIDI,4105,18x28,BLACK,6,0
ZIYA,MIDI,4105,18x28,MAROON,6,0
ZIYA,MIDI,4107,18x28,BLUE,6,0
ZIYA,MIDI,4107,18x28,LEMON,6,0
ZIYA,MIDI,4109,18x28,N_BLUE,6,0
ZIYA,MIDI,4109,18x28,WHITE,6,0
ZIYA,MIDI,4114,18x28,CREAM,6,0
ZIYA,MIDI,4114,18x28,GREY,6,0
ZIYA,MIDI,4114,18x28,WINE,6,0
ZIYA,MIDI,4119,18x28,N_BLUE,6,0
ZIYA,MIDI,4119,18x28,PINK,6,0
ZIYA,MIDI,4120,18x28,RED,6,0
ZIYA,MIDI,4121,18x28,PINK,6,0
ZIYA,MIDI,4121,18x28,PURPLE,6,0
ZIYA,MIDI,4122,18x28,GREEN,6,0
ZIYA,MIDI,4122,18x28,PINK,6,0
ZIYA,MIDI,4124,18x28,GREEN,6,0
ZIYA,MIDI,4124,18x28,ORANGE,6,0
ZIYA,MIDI,4124,18x28,PINK,6,0
ZIYA,MIDI,4125,18x28,PEACH,6,0
ZIYA,MIDI,4125,18x28,PINK,6,0
ZIYA,MIDI,4126,18x28,BLUE,6,0
ZIYA,MIDI,4126,18x28,PINK,6,0
ZIYA,MIDI,4127,18x28,BLACK,6,0
ZIYA,MIDI,4127,18x28,N_BLUE,6,0
