brand,category,design,size,color,sets,price
LEUTINO,SHIRT,6046,2x6,ORANGE,5,0
LEUTINO,SHIRT,6046,8x16,ORANGE,5,0
LEUTINO,SHIRT,6046,2x6,GREEN,5,0
LEUTINO,SHIRT,6046,8x16,GREEN,5,0
LEUTINO,SHIRT,6047,2x6,R_GREEN,5,0
LEUTINO,SHIRT,6047,8x16,R_GREEN,5,0
LEUTINO,SHIRT,6048,2x6,SKY,5,0
LEUTINO,SHIRT,6048,8x16,SKY,5,0
LEUTINO,SHIRT,6049,2x6,WHITE,5,0
LEUTINO,SHIRT,6049,8x16,WHITE,5,0
LEUTINO,SHIRT,6040,2x6,KHAKHI,5,0
LEUTINO,SHIRT,6040,8x16,KHAKHI,5,0
LEUTINO,SHIRT,6015,2x6,L_BLUE,5,0
LEUTINO,SHIRT,6015,8x16,L_BLUE,5,0
