brand,category,design,size,color,sets,price
JALARAM ,GOWN,1999A,22x30,PURPLE,5,0
JALARAM ,GOWN,1999B,22x30,BLUE,5,0
JALARAM ,GOWN,5020A,22x30,GREY,5,0
JALARAM ,GOWN,5013A,22x30,GREEN,5,0
JALARAM ,GOWN,5013A,22x30,MULTI,5,0
JALARAM ,GOWN,5016A,22x30,PINK,5,0
JALARAM ,GOWN,5016B,22x30,BLUE,5,0
JALARAM ,GOWN,5026A,22x30,BLUE,5,0
JALARAM ,GOWN,5026B,22x30,ONION,5,0
JALARAM ,GOWN,5023A,22x30,ONION,5,0
JALARAM ,GOWN,5023B,22x30,GREEN,5,0
JALARAM ,GOWN,5017A,22x30,YELLOW,5,0
JALARAM ,GOWN,5017B,22x30,GREEN,5,0
JALARAM ,GOWN,5028A,22x30,MAROON,5,0
JALARAM ,GOWN,5028B,22x30,BLUE,5,0
JALARAM ,CHOLI,6015A,16x22,MAROON,4,0
JALARAM ,CHOLI,6015B,16x22,BLUE,4,0
JALARAM ,CHOLI,6002A,16x22,BLUE,4,0
JALARAM ,CHOLI,6002B,16x22,WINE,4,0
JALARAM ,CHOLI,6017A,16x22,GREEN,4,0
JALARAM ,CHOLI,6012B,16x22,WINE,4,0
JALARAM ,CHOLI,6012C,16x22,BLUE,4,0
JALARAM ,FROCK,3113A,16x22,PINK,4,0
JALARAM ,FROCK,3113B,16x22,PURPLE,4,0
JALARAM ,FROCK,3092A,16x22,ONION,4,0
JALARAM ,FROCK,3092B,16x22,BLUE,4,0
JALARAM ,FROCK,3108A,16x22,ONION,4,0
JALARAM ,FROCK,3108B,16x22,GREEN,4,0
JALARAM ,FROCK,3103A,16x22,RED,4,0
JALARAM ,FROCK,3121A,16x22,MAROON,4,0
JALARAM ,FROCK,3121B,16x22,BLUE,4,0
JALARAM ,FROCK,3125A,16x22,WINE,4,0
JALARAM ,FROCK,3125A,16x22,BLUE,4,0
JALARAM ,FROCK,3118A,16x22,MAROON,4,0
JALARAM ,FROCK,3118B,16x22,PURPLE,4,0
JALARAM ,GOWN,1999A,32x38,PURPLE,4,0
JALARAM ,GOWN,1999B,32x38,BLUE,4,0
JALARAM ,GOWN,5026A,32x38,BLUE,4,0
JALARAM ,GOWN,5026B,32x38,ONION,4,0
JALARAM ,GOWN,5023A,32x38,ONION,4,0
JALARAM ,GOWN,5023B,32x38,GREEN,4,0
JALARAM ,GOWN,5017A,32x38,YELLOW,4,0
JALARAM ,GOWN,5017B,32x38,GREEN,4,0
JALARAM ,GOWN,5028A,32x38,MAROON,4,0
JALARAM ,GOWN,5028B,32x38,BLUE,4,0
JALARAM ,FROCK,3113A,24x28,PINK,3,0
JALARAM ,FROCK,3113B,24x28,PURPLE,3,0
JALARAM ,FROCK,3092A,24x28,ONION,3,0
JALARAM ,FROCK,3092B,24x28,BLUE,3,0
JALARAM ,FROCK,3108A,24x28,ONION,3,0
JALARAM ,FROCK,3108B,24x28,GREEN,3,0
JALARAM ,FROCK,3103A,24x28,RED,3,0
JALARAM ,FROCK,3121A,24x28,MAROON,3,0
JALARAM ,FROCK,3121B,24x28,BLUE,3,0
JALARAM ,FROCK,3125A,24x28,WINE,3,0
JALARAM ,FROCK,3125A,24x28,BLUE,3,0
JALARAM ,FROCK,3118A,24x28,MAROON,3,0
JALARAM ,FROCK,3118B,24x28,PURPLE,3,0
