brand,category,design,size,color,sets,price
KASHISH,T_SHIRT,911,22x30,ONION,5,0
KASHISH,T_SHIRT,911,22x30,GREY,5,0
KASHISH,T_SHIRT,911,22x30,BLACK,5,0
KASHISH,T_SHIRT,911,22x30,YELLOW,5,0
KASHISH,T_SHIRT,911,22x30,AIRFORCE,5,0
KASHISH,T_SHIRT,911,22x30,LIGHT_GREEN,5,0
KASHISH,T_SHIRT,911,22x30,RED,5,0
KASHISH,T_SHIRT,911,22x30,DARK_GREEN,5,0
KASHISH,T_SHIRT,911,22x30,GREEN,5,0
KASHISH,T_SHIRT,911,32x38,ONION,4,0
KASHISH,T_SHIRT,911,32x38,GREY,4,0
KASHISH,T_SHIRT,911,32x38,BLACK,4,0
KASHISH,T_SHIRT,911,32x38,YELLOW,4,0
KASHISH,T_SHIRT,911,32x38,AIRFORCE,4,0
KASHISH,T_SHIRT,911,32x38,LIGHT_GREEN,4,0
KASHISH,T_SHIRT,911,32x38,RED,4,0
KASHISH,T_SHIRT,911,32x38,DARK_GREEN,4,0
KASHISH,T_SHIRT,911,32x38,GREEN,4,0
KASHISH,T_SHIRT,912,22x30,MAROON,5,0
KASHISH,T_SHIRT,912,22x30,PISTA,5,0
KASHISH,T_SHIRT,912,22x30,PEACH,5,0
KASHISH,T_SHIRT,912,22x30,BOTTLE_GREEN,5,0
KASHISH,T_SHIRT,912,22x30,GOLD,5,0
KASHISH,T_SHIRT,912,22x30,LIGHT_GREEN,5,0
KASHISH,T_SHIRT,912,22x30,SKY,5,0
KASHISH,T_SHIRT,912,22x30,BLUE,5,0
KASHISH,T_SHIRT,912,22x30,RED,5,0
KASHISH,T_SHIRT,912,32x38,MAROON,4,0
KASHISH,T_SHIRT,912,32x38,PISTA,4,0
KASHISH,T_SHIRT,912,32x38,PEACH,4,0
KASHISH,T_SHIRT,912,32x38,BOTTLE_GREEN,4,0
KASHISH,T_SHIRT,912,32x38,GOLD,4,0
KASHISH,T_SHIRT,912,32x38,LIGHT_GREEN,4,0
KASHISH,T_SHIRT,912,32x38,SKY,4,0
KASHISH,T_SHIRT,912,32x38,BLUE,4,0
KASHISH,T_SHIRT,912,32x38,RED,4,0
KASHISH,T_SHIRT,913,22x30,BLUE,5,0
KASHISH,T_SHIRT,913,22x30,LIGHT_GREEN,5,0
KASHISH,T_SHIRT,913,22x30,BOTTLE_GREEN,5,0
KASHISH,T_SHIRT,913,22x30,PISTA,5,0
KASHISH,T_SHIRT,913,22x30,SKY,5,0
KASHISH,T_SHIRT,913,22x30,PEACH,5,0
KASHISH,T_SHIRT,913,22x30,AIRFORCE,5,0
KASHISH,T_SHIRT,913,22x30,GOLD,5,0
KASHISH,T_SHIRT,913,22x30,BLACK,5,0
KASHISH,T_SHIRT,913,22x30,GREY,5,0
KASHISH,T_SHIRT,913,32x38,BLUE,4,0
KASHISH,T_SHIRT,913,32x38,LIGHT_GREEN,4,0
KASHISH,T_SHIRT,913,32x38,BOTTLE_GREEN,4,0
KASHISH,T_SHIRT,913,32x38,PISTA,4,0
KASHISH,T_SHIRT,913,32x38,SKY,4,0
KASHISH,T_SHIRT,913,32x38,PEACH,4,0
KASHISH,T_SHIRT,913,32x38,AIRFORCE,4,0
KASHISH,T_SHIRT,913,32x38,GOLD,4,0
KASHISH,T_SHIRT,913,32x38,BLACK,4,0
KASHISH,T_SHIRT,913,32x38,GREY,4,0
KASHISH,T_SHIRT,914,22x30,BLACK,5,0
KASHISH,T_SHIRT,914,22x30,LIGHT_GREEN,5,0
KASHISH,T_SHIRT,914,22x30,AIRFORCE,5,0
KASHISH,T_SHIRT,914,22x30,MAROON,5,0
KASHISH,T_SHIRT,914,22x30,PEACH,5,0
KASHISH,T_SHIRT,914,32x38,BLACK,4,0
KASHISH,T_SHIRT,914,32x38,LIGHT_GREEN,4,0
KASHISH,T_SHIRT,914,32x38,AIRFORCE,4,0
KASHISH,T_SHIRT,914,32x38,MAROON,4,0
KASHISH,T_SHIRT,914,32x38,PEACH,4,0
KASHISH,T_SHIRT,915,22x30,GREY,5,0
KASHISH,T_SHIRT,915,22x30,SKY,5,0
KASHISH,T_SHIRT,915,22x30,GOLD,5,0
KASHISH,T_SHIRT,915,22x30,WHITE,5,0
KASHISH,T_SHIRT,915,22x30,LIGHT_GREEN,5,0
KASHISH,T_SHIRT,915,22x30,DARK_GREEN,5,0
KASHISH,T_SHIRT,915,22x30,PISTA,5,0
KASHISH,T_SHIRT,915,22x30,LIGHT_PEACH,5,0
KASHISH,T_SHIRT,915,22x30,DARK_PEACH,5,0
KASHISH,T_SHIRT,915,22x30,ONION,5,0
KASHISH,T_SHIRT,915,32x38,GREY,4,0
KASHISH,T_SHIRT,915,32x38,SKY,4,0
KASHISH,T_SHIRT,915,32x38,GOLD,4,0
KASHISH,T_SHIRT,915,32x38,WHITE,4,0
KASHISH,T_SHIRT,915,32x38,LIGHT_GREEN,4,0
KASHISH,T_SHIRT,915,32x38,DARK_GREEN,4,0
KASHISH,T_SHIRT,915,32x38,PISTA,4,0
