brand,category,design,size,color,sets,price
KOOKIES,INDO_WESTERN,4152-1,0x5,FIROZI,6,0
KOOKIES,INDO_WESTERN,4152-2,0x5,YELLOW,6,
KOOKIES,INDO_WESTERN,4152-3,0x5,PINK,6,
KOOKIES,KURTA,8131-1,1x10,RED,8,
KOOKIES,KURTA,8131-2,1x10,NAVY,8,
KOOKIES,KURTA,8131-3,1x10,MUSTARD,8,
KOOKIES,KURTA,8131-4,1x10,GREEN,8,
KOOKIES,KURTA,8132-1,1x10,RED,8,
KOOKIES,KURTA,8132-2,1x10,MUSTARD,8,
KOOKIES,KURTA,8132-3,1x10,MEHNDI,8,
KOOKIES,KURTA,851_1,1x10,MAROON,8,
KOOKIES,KURTA,851_2,1x10,MUSTARD,8,
KOOKIES,KURTA,851_4,1x10,RAMA_GREEN,8,
KOOKIES,KURTA,851-6,1x10,BLACK,8,
KOOKIES,KURTA,851-7,1x10,CREAM,8,
KOOKIES,KURTA,8138-3,1x10,Yellow,8,
KOOKIES,JACKET,6124-5,0x5,PISTA,8,
FORUM,KURTA,1131_1,36x46,RED,6,
FORUM,KURTA,1131_2,36x46,NAVY,6,
FORUM,KURTA,1131_3,36x46,MUSTARD,6,
FORUM,KURTA,1131_4,36x46,GREEN,6,
FORUM,KURTA,1132_1,36x46,RED,6,
FORUM,KURTA,1132_2,36x46,MUSTARD,6,
FORUM,KURTA,1132_3,36x46,MEHNDI,6,
FORUM,KURTA,1851_1,36x46,MAROON,6,
FORUM,KURTA,1851_2,36x46,MUSTARD,6,
FORUM,KURTA,1851-4,36x46,RAMA_GREEN,6,
FORUM,KURTA,1851-6,36x46,BLACK,6,
FORUM,KURTA,1851-7,36x46,CREAM,6,
FORUM,KURTA,1138_3,36x46,Yellow,6,
FORUM,KURTA,1138_1,36x46,Pink,6,
