brand,category,design,size,color,sets,price
KOOKIES,INDO_WESTERN,4152_1,0x5,o,6,0
KOOKIES,INDO_WESTERN,4152_2,0x5,YELLOW,6,
KOOKIES,INDO_WESTERN,4152_3,0x5,PINK,6,
KOOKIES,KURTA,8131_1,1x10,RED,8,
KOOKIES,KURTA,8131_2,1x10,NAVY,8,
KOOKIES,KURTA,8131_3,1x10,MUSTARD,8,
KOOKIES,KURTA,8131_4,1x10,GREEN,8,
KOOKIES,KURTA,8132_1,1x10,RED,8,
KOOKIES,KURTA,8132_2,1x10,MUSTARD,8,
KOOKIES,KURTA,8132_3,1x10,MEHNDI,8,
KOOKIES,KURTA,851_6,1x10,BLACK,8,
KOOKIES,KURTA,851_7,1x10,CREAM,8,
KOOKIES,KURTA,8138_3,1x10,Yellow,8,
KOOKIES,JACKET,6124_5,0x5,PISTA,8,
FORUM,KURTA,1851_4,36x46,RAMA_GREEN,6,
FORUM,KURTA,1851_6,36x46,BLACK,6,
FORUM,KURTA,1851_7,36x46,CREAM,6,
