brand,category,design,size,color,sets,price
LEUTINO,SHIRT,6004,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6004,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6005,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6005,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6007,2x6,MAROON,5,0
LEUTINO,SHIRT,6007,8x16,MAROON,5,0
LEUTINO,SHIRT,6008,2x6,MAROON,5,0
LEUTINO,SHIRT,6008,8x16,MAROON,5,0
LEUTINO,SHIRT,6011,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6011,8x16,MUSTARD,5,0
LEUTINO,KURTA,6013,2x6,MUSTARD,5,0
LEUTINO,KURTA,6013,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6018,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6018,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6019,2x6,MAROON,5,0
LEUTINO,SHIRT,6019,8x16,MAROON,5,0
LEUTINO,KURTA,6021,2x6,MAROON,5,0
LEUTINO,KURTA,6021,8x16,MAROON,5,0
LEUTINO,KURTA,5115,2x6,MUSTARD,5,0
LEUTINO,KURTA,5115,8x16,MUSTARD,5,0
