brand,category,design,size,color,sets,price
LEUTINO,SHIRT,6040,2x6,KHAKI,5,0
LEUTINO,SHIRT,6040,8x16,KHAKI,5,0
LEUTINO,SHIRT,6040,2x6,BLUE,5,0
LEUTINO,SHIRT,6040,8x16,BLUE,5,0
LEUTINO,SHIRT,6041,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6041,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6041,2x6,RED,5,0
LEUTINO,SHIRT,6041,8x16,RED,5,0
LEUTINO,SHIRT,6042,2x6,RED,5,0
LEUTINO,SHIRT,6042,8x16,RED,5,0
LEUTINO,SHIRT,6042,2x6,GREEN,5,0
LEUTINO,SHIRT,6042,8x16,GREEN,5,0
LEUTINO,SHIRT,6033,2x6,FAWN,5,0
LEUTINO,SHIRT,6033,8x16,FAWN,5,0
LEUTINO,SHIRT,6033,2x6,SKY,5,0
LEUTINO,SHIRT,6033,8x16,SKY,5,0
LEUTINO,SHIRT,6033,2x6,ORANGE,5,0
LEUTINO,SHIRT,6033,8x16,ORANGE,5,0
LEUTINO,SHIRT,6034,2x6,MUSTARD,5,0
LEUTINO,SHIRT,6034,8x16,MUSTARD,5,0
LEUTINO,SHIRT,6039,2x6,RED,5,0
LEUTINO,SHIRT,6039,8x16,RED,5,0
LEUTINO,SHIRT,6043,2x6,BLUE,5,0
LEUTINO,SHIRT,6043,8x16,BLUE,5,0
LEUTINO,SHIRT,6044,2x6,BLUE,5,0
LEUTINO,SHIRT,6044,8x16,BLUE,5,0
LEUTINO,SHIRT,6045,2x6,YELLOW,5,0
LEUTINO,SHIRT,6045,8x16,YELLOW,5,0
LEUTINO,SHIRT,6045,2x6,PEACH,5,0
LEUTINO,SHIRT,6045,8x16,PEACH,5,0
LEUTINO,SHIRT,6045,2x6,GREEN,5,0
LEUTINO,SHIRT,6045,8x16,GREEN,5,0
LEUTINO,SHIRT,6045,2x6,SKY,5,0
LEUTINO,SHIRT,6045,8x16,SKY,5,0
