brand,category,design,size,color,sets,price
LITTLE MAGIC,KOTI_SET,5114,1x5,PISTA,5,0
LITTLE MAGIC,KOTI_SET,5114,6x16,PISTA,6,0
LITTLE MAGIC,KOTI_SET,5127,1x5,RAMA,5,0
LITTLE MAGIC,KOTI_SET,5127,6x16,RAMA,6,0
LITTLE MAGIC,KOTI_SET,5141,1x5,LEMON,5,0
LITTLE MAGIC,KOTI_SET,5141,6x16,LEMON,6,0
LITTLE MAGIC,KOTI_SET,5141,1x5,ONION,5,0
LITTLE MAGIC,KOTI_SET,5141,6x16,ONION,6,0
LITTLE MAGIC,KOTI_SET,5141,1x5,PISTA,5,0
LITTLE MAGIC,KOTI_SET,5141,6x16,PISTA,6,0
LITTLE MAGIC,KOTI_SET,5142,1x5,HALDI,5,0
LITTLE MAGIC,KOTI_SET,5142,6x16,HALDI,6,0
LITTLE MAGIC,KOTI_SET,5140,1x5,YELLOW,5,0
LITTLE MAGIC,KOTI_SET,5140,6x16,YELLOW,6,0
LITTLE MAGIC,KOTI_SET,5139,1x5,ONION,5,0
LITTLE MAGIC,KOTI_SET,5139,6x16,ONION,6,0
LITTLE MAGIC,KOTI_SET,5139,1x5,BLACK,5,0
LITTLE MAGIC,KOTI_SET,5139,6x16,BLACK,6,0
LITTLE MAGIC,KOTI_SET,5139,1x5,MEHENDI,5,0
LITTLE MAGIC,KOTI_SET,5139,6x16,MEHENDI,6,0
LITTLE MAGIC,KOTI_SET,5139,1x5,FIROZI,5,0
LITTLE MAGIC,KOTI_SET,5139,6x16,FIROZI,6,0
LITTLE MAGIC,KOTI_SET,5139,1x5,GOLD,5,0
LITTLE MAGIC,KOTI_SET,5139,6x16,GOLD,6,0
LITTLE MAGIC,KOTI_SET,3467,1x5,CREAM,5,0
LITTLE MAGIC,KOTI_SET,3467,6x16,CREAM,6,0
LITTLE MAGIC,KOTI_SET,5143,1x5,YELLOW,5,0
LITTLE MAGIC,KOTI_SET,5143,6x16,YELLOW,6,0
LITTLE MAGIC,KOTI_SET,5144,1x5,DENIM,5,0
LITTLE MAGIC,KOTI_SET,5144,6x16,DENIM,6,0
LITTLE MAGIC,KOTI_SET,5145,1x5,BLACK,5,0
LITTLE MAGIC,KOTI_SET,5145,6x16,BLACK,6,0
LITTLE MAGIC,KOTI_SET,124,1x5,PINK,5,0
LITTLE MAGIC,KOTI_SET,124,6x16,PINK,6,0
LITTLE MAGIC,KOTI_SET,126,1x5,ONION,5,0
LITTLE MAGIC,KOTI_SET,126,6x16,ONION,6,0
LITTLE MAGIC,KOTI_SET,5120,1x5,GOLD,5,0
LITTLE MAGIC,KOTI_SET,5120,6x16,GOLD,6,0
LITTLE MAGIC,KOTI_SET,123,1x5,ONION,5,0
LITTLE MAGIC,KOTI_SET,123,6x16,ONION,6,0
LITTLE MAGIC,KOTI_SET,123,1x5,MEHENDI,5,0
LITTLE MAGIC,KOTI_SET,123,6x16,MEHENDI,6,0
LITTLE MAGIC,KOTI_SET,123,1x5,FIROZI,5,0
LITTLE MAGIC,KOTI_SET,123,6x16,FIROZI,6,0
LITTLE MAGIC,KOTI_SET,123,1x5,WINE,5,0
LITTLE MAGIC,KOTI_SET,123,6x16,WINE,6,0
LITTLE MAGIC,KOTI_SET,5109,1x5,PEACOCK,5,0
LITTLE MAGIC,KOTI_SET,5109,6x16,PEACOCK,6,0
LITTLE MAGIC,KOTI_SET,117,1x5,DENIM,5,0
LITTLE MAGIC,KOTI_SET,117,6x16,DENIM,6,0
LITTLE MAGIC,KOTI_SET,5123,1x5,PEACOCK,5,0
LITTLE MAGIC,KOTI_SET,5123,6x16,PEACOCK,6,0
