brand,category,design,size,color,sets,price
XPLOSURE,KURTA_SET,7569,S_XL,LEMON,4,0
XPLOSURE,KURTA_SET,7569,M_2XL,LEMON,4,0
XPLOSURE,KURTA_SET,7585,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7585,M_2XL,PISTA,4,0
XPLOSURE,KURTA_SET,7598,S_XL,CREAM,4,0
XPLOSURE,KURTA_SET,7598,M_2XL,CREAM,4,0
XPLOSURE,KURTA_SET,7598,S_XL,RAMA,4,0
XPLOSURE,KURTA_SET,7598,M_2XL,RAMA,4,0
XPLOSURE,KURTA_SET,7585,S_XL,DENIM,4,0
XPLOSURE,KURTA_SET,7585,M_2XL,DENIM,4,0
XPLOSURE,KURTA_SET,7595,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7595,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7592,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7592,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7592,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7592,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7597,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7597,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7597,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7597,M_2XL,PISTA,4,0
XPLOSURE,KURTA_SET,7591,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7591,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7591,S_XL,GREEN,4,0
XPLOSURE,KURTA_SET,7591,M_2XL,GREEN,4,0
XPLOSURE,KURTA_SET,7596,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7596,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7594,S_XL,L_PISTA,4,0
XPLOSURE,KURTA_SET,7594,M_2XL,L_PISTA,4,0
XPLOSURE,KURTA_SET,7594,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7594,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7590,S_XL,WHITE,4,0
XPLOSURE,KURTA_SET,7590,M_2XL,WHITE,4,0
XPLOSURE,KURTA_SET,7593,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7593,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7593,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7593,M_2XL,PISTA,4,0
XPLOSURE,KURTA_SET,7588,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7588,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7588,S_XL,L_PISTA,4,0
XPLOSURE,KURTA_SET,7588,M_2XL,L_PISTA,4,0
XPLOSURE,KURTA_SET,7589,S_XL,PINK,4,0
XPLOSURE,KURTA_SET,7589,M_2XL,PINK,4,0
XPLOSURE,KURTA_SET,7587,S_XL,DENIM,4,0
XPLOSURE,KURTA_SET,7587,M_2XL,DENIM,4,0
XPLOSURE,KURTA_SET,7587,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7587,M_2XL,PISTA,4,0
XPLOSURE,KURTA_SET,7587,S_XL,L_NATURAL,4,0
XPLOSURE,KURTA_SET,7587,M_2XL,L_NATURAL,4,0
XPLOSURE,KURTA_SET,7587,S_XL,LEMON,4,0
XPLOSURE,KURTA_SET,7587,M_2XL,LEMON,4,0
XPLOSURE,KURTA_SET,7351,S_XL,LEMON,4,0
XPLOSURE,KURTA_SET,7351,M_2XL,LEMON,4,0
XPLOSURE,KURTA_SET,7351,S_XL,WINE,4,0
XPLOSURE,KURTA_SET,7351,M_2XL,WINE,4,0
XPLOSURE,KURTA_SET,7351,S_XL,BLACK,4,0
XPLOSURE,KURTA_SET,7351,M_2XL,BLACK,4,0
XPLOSURE,KURTA_SET,7351,S_XL,NAVY,4,0
XPLOSURE,KURTA_SET,7351,M_2XL,NAVY,4,0
XPLOSURE,KURTA_SET,7351,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7351,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7599,S_XL,GREEN,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,GREEN,4,0
XPLOSURE,KURTA_SET,7599,S_XL,GOLD,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,GOLD,4,0
XPLOSURE,KURTA_SET,7599,S_XL,WINE,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,WINE,4,0
XPLOSURE,KURTA_SET,7599,S_XL,ONION,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,ONION,4,0
XPLOSURE,KURTA_SET,7599,S_XL,NAVY,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,NAVY,4,0
XPLOSURE,KURTA_SET,7599,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,PISTA,4,0
XPLOSURE,KURTA_SET,7599,S_XL,BLACK,4,0
XPLOSURE,KURTA_SET,7599,M_2XL,BLACK,4,0
XPLOSURE,KURTA_SET,7598,S_XL,PISTA,4,0
XPLOSURE,KURTA_SET,7598,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3891,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3891,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3862,S_XL,PISTA,4,0
XPLOSURE,KOTI_SET,3862,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3862,S_XL,FIROZI,4,0
XPLOSURE,KOTI_SET,3862,M_2XL,FIROZI,4,0
XPLOSURE,KOTI_SET,3877,S_XL,PINK,4,0
XPLOSURE,KOTI_SET,3877,M_2XL,PINK,4,0
XPLOSURE,KOTI_SET,3877,S_XL,PISTA,4,0
XPLOSURE,KOTI_SET,3877,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3890,S_XL,CREAM,4,0
XPLOSURE,KOTI_SET,3890,M_2XL,CREAM,4,0
XPLOSURE,KOTI_SET,3872,S_XL,DENIM,4,0
XPLOSURE,KOTI_SET,3872,M_2XL,DENIM,4,0
XPLOSURE,KOTI_SET,3866,S_XL,WHITE,4,0
XPLOSURE,KOTI_SET,3866,M_2XL,WHITE,4,0
XPLOSURE,KOTI_SET,3866,S_XL,NAVY,4,0
XPLOSURE,KOTI_SET,3866,M_2XL,NAVY,4,0
XPLOSURE,KOTI_SET,3866,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3866,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3896,S_XL,RAMA,4,0
XPLOSURE,KOTI_SET,3896,M_2XL,RAMA,4,0
XPLOSURE,KOTI_SET,3896,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3896,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3863,S_XL,CREAM,4,0
XPLOSURE,KOTI_SET,3863,M_2XL,CREAM,4,0
XPLOSURE,KOTI_SET,3874,S_XL,RAMA,4,0
XPLOSURE,KOTI_SET,3874,M_2XL,RAMA,4,0
XPLOSURE,KOTI_SET,3865,S_XL,DENIM,4,0
XPLOSURE,KOTI_SET,3865,M_2XL,DENIM,4,0
XPLOSURE,KOTI_SET,3858,S_XL,CREAM,4,0
XPLOSURE,KOTI_SET,3858,M_2XL,CREAM,4,0
XPLOSURE,KOTI_SET,3897,S_XL,GREEN,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,GREEN,4,0
XPLOSURE,KOTI_SET,3897,S_XL,ONION,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,ONION,4,0
XPLOSURE,KOTI_SET,3897,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3897,S_XL,WHITE,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,WHITE,4,0
XPLOSURE,KOTI_SET,3897,S_XL,BLACK,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,BLACK,4,0
XPLOSURE,KOTI_SET,3897,S_XL,NAVY,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,NAVY,4,0
XPLOSURE,KOTI_SET,3897,S_XL,FIROZI,4,0
XPLOSURE,KOTI_SET,3897,M_2XL,FIROZI,4,0
XPLOSURE,KOTI_SET,3885,S_XL,ONION,4,0
XPLOSURE,KOTI_SET,3885,M_2XL,ONION,4,0
XPLOSURE,KOTI_SET,3885,S_XL,GREY,4,0
XPLOSURE,KOTI_SET,3885,M_2XL,GREY,4,0
XPLOSURE,KOTI_SET,3885,S_XL,CREAM,4,0
XPLOSURE,KOTI_SET,3885,M_2XL,CREAM,4,0
XPLOSURE,KOTI_SET,3854,S_XL,LEMON,4,0
XPLOSURE,KOTI_SET,3854,M_2XL,LEMON,4,0
XPLOSURE,KOTI_SET,3854,S_XL,L_PISTA,4,0
XPLOSURE,KOTI_SET,3854,M_2XL,L_PISTA,4,0
XPLOSURE,KOTI_SET,3854,S_XL,PISTA,4,0
XPLOSURE,KOTI_SET,3854,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3857,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3857,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3857,S_XL,PISTA,4,0
XPLOSURE,KOTI_SET,3857,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3857,S_XL,DENIM,4,0
XPLOSURE,KOTI_SET,3857,M_2XL,DENIM,4,0
XPLOSURE,KOTI_SET,3857,S_XL,PINK,4,0
XPLOSURE,KOTI_SET,3857,M_2XL,PINK,4,0
XPLOSURE,KOTI_SET,3886,S_XL,PISTA,4,0
XPLOSURE,KOTI_SET,3886,M_2XL,PISTA,4,0
XPLOSURE,KOTI_SET,3886,S_XL,PINK,4,0
XPLOSURE,KOTI_SET,3886,M_2XL,PINK,4,0
XPLOSURE,KOTI_SET,3898,S_XL,PEACOCK,4,0
XPLOSURE,KOTI_SET,3898,M_2XL,PEACOCK,4,0
XPLOSURE,KOTI_SET,3898,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3898,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3870,S_XL,PEACOCK,4,0
XPLOSURE,KOTI_SET,3870,M_2XL,PEACOCK,4,0
XPLOSURE,KOTI_SET,3870,S_XL,GOLD,4,0
XPLOSURE,KOTI_SET,3870,M_2XL,GOLD,4,0
XPLOSURE,KOTI_SET,3800,S_XL,GOLD,4,0
